method,model,aggregation,version,train_time_s,train_acc,valid_acc,mrr,hits_1,hits_3,hits_10,conformal_cov_a0.01,conformal_size_a0.01,conformal_cov_a0.05,conformal_size_a0.05,conformal_cov_a0.1,conformal_size_a0.1
RotatE,roberta,sum,fb237_v2_ind_seed7005,24.0,0.815504,0.543158,0.698547,0.537815,0.848739,0.934874,1.0,172.0,0.94958,15.2752,0.894958,7.0672
RotatE,roberta,sum,fb237_v2_ind_seed7006,25.4,0.819976,0.559574,0.686297,0.51606,0.841542,0.920771,1.0,172.0,0.946467,18.818,0.895075,5.3704
RotatE,roberta,sum,fb237_v2_ind_seed7007,24.5,0.812802,0.563169,0.725745,0.569072,0.876289,0.946392,1.0,172.0,0.954639,20.2474,0.923711,8.1711
RotatE,roberta,sum,fb237_v2_ind_seed7008,24.8,0.789055,0.552017,0.687179,0.528541,0.832981,0.911205,1.0,172.0,0.94926,30.6216,0.896406,11.4271
RotatE,roberta,sum,fb237_v2_ind_seed7009,24.7,0.809901,0.541756,0.68274,0.517241,0.840517,0.931034,1.0,172.0,0.950431,17.6573,0.890086,7.8405
RotatE,roberta,sum,fb237_v2_ind_seed7010,24.9,0.816827,0.556522,0.693323,0.519068,0.864407,0.930085,1.0,172.0,0.957627,18.8835,0.917373,6.4915
RotatE,roberta,sum,fb237_v3_ind_seed7001,43.3,0.831306,0.619653,0.73208,0.593822,0.846682,0.956522,0.991991,66.5778,0.948513,8.0892,0.908467,4.2654
RotatE,roberta,sum,fb237_v3_ind_seed7002,45.9,0.830428,0.639019,0.730489,0.589773,0.85,0.945455,0.9875,45.2602,0.926136,7.1148,0.870455,3.7193
RotatE,roberta,sum,fb237_v3_ind_seed7003,44.5,0.820038,0.624565,0.747028,0.618451,0.850797,0.94533,0.992027,61.5114,0.936219,7.9453,0.889522,3.221
RotatE,roberta,sum,fb237_v3_ind_seed7004,46.2,0.833808,0.624,0.748218,0.619529,0.855219,0.937149,1.0,183.0,0.961841,15.6117,0.888889,4.2514
RotatE,roberta,sum,fb237_v3_ind_seed7005,46.4,0.831439,0.616266,0.716427,0.579128,0.833716,0.931193,0.983945,69.9794,0.940367,8.5195,0.877294,3.7282
RotatE,roberta,sum,fb237_v3_ind_seed7006,44.1,0.81844,0.610345,0.744417,0.606129,0.863791,0.946652,0.988649,51.891,0.951192,9.8365,0.908059,3.8717
RotatE,roberta,sum,fb237_v3_ind_seed7007,45.4,0.835428,0.616266,0.740826,0.60139,0.867903,0.957126,0.988413,52.6744,0.937428,7.1344,0.910776,4.0209
RotatE,roberta,sum,fb237_v3_ind_seed7008,43.1,0.820482,0.616628,0.744248,0.608646,0.862344,0.94653,0.996587,77.6086,0.944255,7.5449,0.871445,3.3868
RotatE,roberta,sum,fb237_v3_ind_seed7009,43.5,0.822003,0.629885,0.756237,0.626728,0.861751,0.950461,1.0,183.0,0.968894,18.1659,0.906682,4.576
RotatE,roberta,sum,fb237_v3_ind_seed7010,44.9,0.823076,0.638128,0.764901,0.631336,0.884793,0.965438,0.995392,67.8952,0.961982,12.4343,0.921659,4.0956
rf_subtract,qwen,sum,fb237_v1_ind_seed7001,1.1,0.871307,0.53886,0.65645,0.523364,0.761682,0.869159,1.0,142.0,0.929907,22.6682,0.897196,13.7664
rf_subtract,qwen,sum,fb237_v1_ind_seed7002,1.1,0.88479,0.521327,0.581247,0.443925,0.67757,0.78972,1.0,142.0,1.0,142.0,0.850467,14.528
rf_subtract,qwen,sum,fb237_v1_ind_seed7003,1.1,0.872736,0.558824,0.619425,0.490566,0.716981,0.830189,1.0,142.0,0.924528,31.7264,0.882075,15.7783
rf_subtract,qwen,sum,fb237_v1_ind_seed7004,1.1,0.872222,0.551402,0.652382,0.542857,0.728571,0.842857,1.0,142.0,1.0,142.0,0.914286,18.1952
rf_subtract,qwen,sum,fb237_v1_ind_seed7005,1.1,0.888945,0.525822,0.618388,0.471429,0.72381,0.852381,1.0,142.0,0.938095,30.5286,0.895238,15.8762
rf_subtract,qwen,sum,fb237_v1_ind_seed7006,1.1,0.882738,0.570732,0.642736,0.542453,0.693396,0.811321,1.0,142.0,1.0,142.0,0.910377,18.5236
rf_subtract,qwen,sum,fb237_v1_ind_seed7007,1.1,0.877644,0.524038,0.6958,0.571429,0.780952,0.904762,1.0,142.0,1.0,142.0,0.957143,22.2619
rf_subtract,qwen,sum,fb237_v1_ind_seed7008,1.1,0.873303,0.519231,0.657912,0.536232,0.748792,0.864734,1.0,142.0,0.961353,42.3527,0.932367,18.2609
rf_subtract,qwen,sum,fb237_v1_ind_seed7009,1.2,0.8785,0.507614,0.649642,0.521739,0.753623,0.830918,1.0,142.0,0.961353,45.3478,0.879227,13.9565
rf_subtract,qwen,sum,fb237_v1_ind_seed7010,1.1,0.872928,0.5311,0.602056,0.485294,0.666667,0.833333,1.0,142.0,0.95098,36.4559,0.887255,18.2647
rf_subtract,qwen,sum,fb237_v2_ind_seed7001,2.8,0.829169,0.490239,0.655277,0.537313,0.731343,0.837953,1.0,172.0,0.957356,31.5629,0.889126,12.9232
rf_subtract,qwen,sum,fb237_v2_ind_seed7002,2.8,0.831604,0.466809,0.641087,0.51875,0.720833,0.847917,1.0,172.0,0.970833,50.4208,0.908333,16.8417
rf_subtract,qwen,sum,fb237_v2_ind_seed7003,3.0,0.834137,0.522484,0.618618,0.484277,0.719078,0.832285,1.0,172.0,0.958071,42.9308,0.893082,16.3166
rf_subtract,qwen,sum,fb237_v2_ind_seed7004,2.9,0.837416,0.5131,0.584319,0.451064,0.674468,0.8,1.0,172.0,0.910638,27.666,0.853191,13.6255
rf_subtract,qwen,sum,fb237_v2_ind_seed7005,2.8,0.824922,0.48,0.659658,0.533613,0.743697,0.87395,0.981092,72.5252,0.945378,24.3067,0.909664,12.8172
rf_subtract,qwen,sum,fb237_v2_ind_seed7006,2.8,0.831528,0.508511,0.603239,0.464668,0.69379,0.837259,1.0,172.0,0.96788,35.0621,0.922912,15.1692
rf_subtract,qwen,sum,fb237_v2_ind_seed7007,2.7,0.835266,0.522484,0.653079,0.517526,0.752577,0.872165,1.0,172.0,0.948454,29.5505,0.913402,15.4742
rf_subtract,qwen,sum,fb237_v2_ind_seed7008,2.7,0.845468,0.498938,0.655326,0.520085,0.754757,0.854123,1.0,172.0,0.934461,28.8414,0.911205,17.9302
rf_subtract,qwen,sum,fb237_v2_ind_seed7009,2.7,0.838981,0.513919,0.636547,0.5,0.741379,0.851293,1.0,172.0,0.93319,28.8599,0.885776,15.1724
rf_subtract,qwen,sum,fb237_v2_ind_seed7010,2.6,0.835096,0.517391,0.658576,0.527542,0.758475,0.877119,1.0,172.0,0.963983,24.786,0.902542,11.4534
rf_subtract,qwen,sum,fb237_v3_ind_seed7001,5.3,0.807786,0.580347,0.671039,0.558352,0.743707,0.871854,1.0,183.0,0.95881,32.9668,0.915332,13.3181
rf_subtract,qwen,sum,fb237_v3_ind_seed7002,5.2,0.809755,0.59229,0.659202,0.544318,0.744318,0.848864,1.0,183.0,0.927273,19.9636,0.872727,10.1648
rf_subtract,qwen,sum,fb237_v3_ind_seed7003,5.5,0.80503,0.574739,0.668281,0.551253,0.752847,0.864465,0.982916,65.5569,0.944191,21.1173,0.899772,11.9328
rf_subtract,qwen,sum,fb237_v3_ind_seed7004,5.3,0.804097,0.587429,0.687236,0.579125,0.766554,0.876543,1.0,183.0,0.958474,32.2211,0.901235,11.6532
rf_subtract,qwen,sum,fb237_v3_ind_seed7005,5.3,0.812771,0.557847,0.676121,0.571101,0.744266,0.861239,1.0,183.0,0.93922,25.2844,0.900229,12.3968
rf_subtract,qwen,sum,fb237_v3_ind_seed7006,5.5,0.808963,0.551724,0.678704,0.569807,0.761635,0.871737,0.986379,74.5562,0.943246,22.1271,0.914869,12.5551
rf_subtract,qwen,sum,fb237_v3_ind_seed7007,5.4,0.804216,0.568156,0.674705,0.561993,0.756663,0.863268,0.989571,82.6385,0.949015,24.3117,0.904983,12.19
rf_subtract,qwen,sum,fb237_v3_ind_seed7008,5.2,0.809253,0.545035,0.659689,0.558589,0.723549,0.823663,1.0,183.0,0.96587,38.4096,0.881684,12.1593
rf_subtract,qwen,sum,fb237_v3_ind_seed7009,5.2,0.801595,0.572414,0.667661,0.557604,0.741935,0.858295,1.0,183.0,0.950461,28.7281,0.898618,12.4505
rf_subtract,qwen,sum,fb237_v3_ind_seed7010,5.3,0.808873,0.576484,0.688857,0.581797,0.764977,0.874424,1.0,183.0,0.963134,26.0703,0.923963,13.7581
rf_subtract,roberta,sum,fb237_v1_ind_seed7001,1.1,0.885328,0.564767,0.652855,0.5,0.771028,0.88785,1.0,142.0,0.962617,28.2991,0.925234,12.9486
rf_subtract,roberta,sum,fb237_v1_ind_seed7002,1.1,0.889338,0.526066,0.605729,0.5,0.668224,0.799065,1.0,142.0,0.934579,50.1121,0.827103,11.8271
rf_subtract,roberta,sum,fb237_v1_ind_seed7003,1.1,0.874245,0.573529,0.608205,0.471698,0.70283,0.825472,1.0,142.0,1.0,142.0,0.877358,15.5047
rf_subtract,roberta,sum,fb237_v1_ind_seed7004,1.1,0.875758,0.476636,0.642868,0.509524,0.747619,0.866667,1.0,142.0,0.966667,41.6381,0.928571,18.6857
rf_subtract,roberta,sum,fb237_v1_ind_seed7005,1.1,0.867744,0.549296,0.646049,0.528571,0.728571,0.82381,1.0,142.0,0.971429,40.581,0.933333,19.9238
rf_subtract,roberta,sum,fb237_v1_ind_seed7006,1.1,0.875692,0.57561,0.640123,0.518868,0.726415,0.834906,1.0,142.0,1.0,142.0,0.891509,18.4623
rf_subtract,roberta,sum,fb237_v1_ind_seed7007,1.1,0.861531,0.528846,0.683394,0.571429,0.771429,0.857143,1.0,142.0,0.961905,49.8952,0.909524,16.0714
rf_subtract,roberta,sum,fb237_v1_ind_seed7008,1.1,0.8728,0.548077,0.67188,0.545894,0.763285,0.869565,1.0,142.0,0.975845,56.3527,0.951691,20.715
rf_subtract,roberta,sum,fb237_v1_ind_seed7009,1.1,0.8665,0.48731,0.679489,0.555556,0.772947,0.859903,1.0,142.0,0.937198,25.5217,0.903382,15.8116
rf_subtract,roberta,sum,fb237_v1_ind_seed7010,1.1,0.871924,0.583732,0.64616,0.544118,0.705882,0.823529,1.0,142.0,0.931373,32.1324,0.843137,11.5931
rf_subtract,roberta,sum,fb237_v2_ind_seed7001,2.9,0.82124,0.511931,0.65085,0.526652,0.744136,0.846482,1.0,172.0,0.948827,33.8102,0.889126,14.5842
rf_subtract,roberta,sum,fb237_v2_ind_seed7002,2.7,0.821713,0.507495,0.64867,0.522917,0.735417,0.852083,1.0,172.0,0.947917,30.3333,0.897917,13.6396
rf_subtract,roberta,sum,fb237_v2_ind_seed7003,2.8,0.828351,0.507495,0.606527,0.477987,0.691824,0.813417,1.0,172.0,0.958071,45.4507,0.920335,21.8595
