model,aggregation,version,k,lambda,bias,n_seeds,valid_mrr_mean,valid_mrr_std,test_mrr_mean,test_mrr_std,valid_acc_mean,valid_acc_std,test_acc_mean,test_acc_std,hits_1_mean,hits_1_std,hits_3_mean,hits_3_std,hits_10_mean,hits_10_std,train_acc_mean,train_time_mean
qwen,sum,fb237_v1_ind,200,100,32,3,0.821967,0.012759,0.817833,0.006307,0.7134,0.025549,0.7052,0.012964,0.7052,0.012964,0.915933,0.010971,0.977733,0.016928,0.859167,172.166667
qwen,sum,fb237_v1_ind,200,100,80,3,0.8219,0.015596,0.819,0.0143,0.716933,0.025327,0.703733,0.032881,0.703733,0.032881,0.9206,0.015844,0.979367,0.005499,0.876567,197.533333
qwen,sum,fb237_v1_ind,50,100,32,3,0.8217,0.017252,0.812267,0.018371,0.716567,0.030437,0.6973,0.030657,0.6973,0.030657,0.911167,0.00872,0.9825,0.005804,0.861,58
qwen,sum,fb237_v1_ind,150,50,96,3,0.821233,0.013024,0.7963,0.007783,0.7092,0.026579,0.665767,0.022404,0.665767,0.022404,0.917533,0.012877,0.979367,0.003092,0.924733,155.6
qwen,sum,fb237_v1_ind,50,100,48,3,0.820867,0.018351,0.815967,0.015611,0.711767,0.038181,0.695767,0.030177,0.695767,0.030177,0.922433,0.008769,0.976267,0.009209,0.8657,65.7
qwen,sum,fb237_v1_ind,75,100,16,3,0.8204,0.014,0.808067,0.025162,0.7138,0.028117,0.694133,0.04037,0.694133,0.04037,0.909567,0.011,0.974667,0.009733,0.850467,60.966667
qwen,sum,fb237_v1_ind,150,100,80,3,0.820333,0.015364,0.8171,0.006657,0.713133,0.025643,0.700533,0.014653,0.700533,0.014653,0.922267,0.008203,0.980967,0.008266,0.8725,155.433333
qwen,sum,fb237_v1_ind,200,100,16,3,0.819633,0.006183,0.810367,0.023023,0.7133,0.010608,0.6957,0.045794,0.6957,0.045794,0.912767,0.012889,0.9731,0.007087,0.851633,143.6
qwen,sum,fb237_v1_ind,75,50,48,3,0.819533,0.0074,0.796867,0.011611,0.709633,0.016684,0.662533,0.031485,0.662533,0.031485,0.923833,0.010219,0.976167,0.014555,0.922067,88.3
qwen,sum,fb237_v1_ind,175,50,80,3,0.8193,0.0089,0.8146,0.016134,0.7081,0.020608,0.695933,0.036394,0.695933,0.036394,0.927067,0.003837,0.9825,0.012145,0.9139,178.2
qwen,sum,fb237_v1_ind,175,100,16,3,0.819,0.007894,0.803233,0.019372,0.710067,0.018319,0.6815,0.03373,0.6815,0.03373,0.9112,0.010417,0.9747,0.006916,0.848133,118.1
qwen,sum,fb237_v1_ind,200,50,64,3,0.818667,0.004839,0.803267,0.020661,0.704567,0.009101,0.676933,0.040999,0.676933,0.040999,0.9176,0.001572,0.9778,0.015345,0.923233,199.466667
qwen,sum,fb237_v1_ind,175,50,64,3,0.818667,0.011968,0.798333,0.017379,0.706433,0.028436,0.672133,0.031385,0.672133,0.031385,0.909667,0.004102,0.976167,0.009757,0.905167,177.733333
qwen,sum,fb237_v1_ind,200,50,80,3,0.818667,0.010162,0.795733,0.016151,0.7116,0.012668,0.6706,0.031783,0.6706,0.031783,0.903267,0.008001,0.974567,0.012277,0.9174,197.866667
qwen,sum,fb237_v1_ind,50,50,48,3,0.8182,0.01326,0.809033,0.01014,0.714833,0.022898,0.6877,0.019634,0.6877,0.019634,0.922233,0.017539,0.9714,0.008663,0.892267,66.466667
qwen,sum,fb237_v1_ind,75,50,96,3,0.817967,0.006964,0.814133,0.020695,0.708333,0.008199,0.696133,0.041646,0.696133,0.041646,0.9255,0.002961,0.985767,0.004606,0.917067,88.733333
qwen,sum,fb237_v1_ind,100,50,96,3,0.8179,0.014228,0.802333,0.013662,0.7083,0.032904,0.6752,0.029431,0.6752,0.029431,0.920633,0.008568,0.9809,0.014504,0.906567,110.466667
qwen,sum,fb237_v1_ind,50,100,16,3,0.817833,0.013161,0.8112,0.017033,0.710767,0.02783,0.694167,0.028336,0.694167,0.028336,0.927,0.011053,0.973,0.007503,0.847433,46.333333
qwen,sum,fb237_v1_ind,75,100,48,3,0.8178,0.013704,0.820767,0.0091,0.705033,0.030359,0.708333,0.020145,0.708333,0.020145,0.9191,0.015006,0.984167,0.005493,0.861333,88
qwen,sum,fb237_v1_ind,150,50,48,3,0.8177,0.002869,0.800833,0.014711,0.703,0.006909,0.6721,0.033607,0.6721,0.033607,0.9176,0.001572,0.979433,0.009771,0.923733,155.566667
qwen,sum,fb237_v1_ind,200,50,96,3,0.817333,0.022344,0.8124,0.01095,0.702967,0.042621,0.694367,0.032059,0.694367,0.032059,0.923833,0.009404,0.9746,0.003124,0.9112,200.733333
qwen,sum,fb237_v1_ind,150,50,64,3,0.817067,0.007625,0.8013,0.018201,0.701033,0.016553,0.675433,0.038836,0.675433,0.038836,0.917533,0.004007,0.976167,0.009757,0.9222,155.966667
qwen,sum,fb237_v1_ind,200,50,32,3,0.817,0.009277,0.800367,0.009064,0.7062,0.018175,0.676667,0.021201,0.676667,0.021201,0.925433,0.008469,0.974667,0.005508,0.8897,197.5
qwen,sum,fb237_v1_ind,100,100,16,3,0.816967,0.010977,0.808467,0.020309,0.706833,0.021079,0.694167,0.028336,0.694167,0.028336,0.911267,0.014324,0.9683,0.00274,0.837867,76
qwen,sum,fb237_v1_ind,125,50,96,3,0.8169,0.002982,0.805433,0.013285,0.701567,0.002759,0.684833,0.03197,0.684833,0.03197,0.9192,0.016687,0.971367,0.013062,0.914733,133.133333
qwen,sum,fb237_v1_ind,75,50,64,3,0.8169,0.004592,0.796367,0.019039,0.707967,0.00674,0.6611,0.03507,0.6611,0.03507,0.9255,0.001868,0.979333,0.012269,0.9196,88.433333
qwen,sum,fb237_v1_ind,125,50,64,3,0.816667,0.008619,0.798333,0.007791,0.704933,0.014914,0.668933,0.019748,0.668933,0.019748,0.916,0.011015,0.980933,0.009755,0.918533,133.033333
qwen,sum,fb237_v1_ind,75,100,32,3,0.816567,0.015298,0.814067,0.014368,0.703433,0.025429,0.698767,0.024755,0.698767,0.024755,0.914467,0.006921,0.984167,0.005493,0.8578,76.433333
qwen,sum,fb237_v1_ind,150,50,80,3,0.816467,0.012303,0.809033,0.011819,0.703367,0.015272,0.6896,0.026337,0.6896,0.026337,0.9159,0.008612,0.9794,0.013692,0.921733,155.933333
qwen,sum,fb237_v1_ind,125,50,80,3,0.816033,0.011243,0.798467,0.017986,0.703367,0.015272,0.669133,0.035676,0.669133,0.035676,0.9192,0.003404,0.979367,0.005499,0.914533,133.3
qwen,sum,fb237_v1_ind,100,50,32,3,0.815867,0.00255,0.796833,0.014595,0.702967,0.005163,0.6657,0.026439,0.6657,0.026439,0.914433,0.004388,0.976233,0.008214,0.904,109.933333
qwen,sum,fb237_v1_ind,100,50,48,3,0.815833,0.005255,0.789767,0.017337,0.701333,0.009699,0.6547,0.033801,0.6547,0.033801,0.912933,0.012644,0.9746,0.003124,0.927567,110.133333
qwen,sum,fb237_v1_ind,150,100,16,3,0.815733,0.014633,0.8039,0.025423,0.705033,0.030359,0.686267,0.047376,0.686267,0.047376,0.911233,0.00305,0.9762,0.0004,0.8448,107.533333
qwen,sum,fb237_v1_ind,125,50,32,3,0.8157,0.004969,0.7967,0.007697,0.702733,0.014228,0.664167,0.019734,0.664167,0.019734,0.9223,0.003874,0.982533,0.010977,0.910667,131.966667
qwen,sum,fb237_v1_ind,100,50,64,3,0.815333,0.004336,0.806933,0.008477,0.7012,0.010608,0.6863,0.019307,0.6863,0.019307,0.920633,0.008568,0.9745,0.014894,0.909667,110
qwen,sum,fb237_v1_ind,75,50,80,3,0.815267,0.0095,0.801967,0.006369,0.697633,0.02166,0.6785,0.019448,0.6785,0.019448,0.915867,0.011233,0.980967,0.008266,0.918833,87.166667
qwen,sum,fb237_v1_ind,125,50,48,3,0.815133,0.003421,0.799133,0.015312,0.701467,0.009985,0.669033,0.037054,0.669033,0.037054,0.920633,0.012113,0.976167,0.014555,0.9199,133.266667
qwen,sum,fb237_v1_ind,50,50,64,3,0.815,0.006056,0.801867,0.012512,0.7015,0.015033,0.6722,0.028849,0.6722,0.028849,0.919067,0.0061,0.976167,0.014555,0.923067,66.633333
qwen,sum,fb237_v1_ind,175,50,96,3,0.814767,0.009803,0.8042,0.007255,0.698067,0.015724,0.6816,0.026725,0.6816,0.026725,0.9191,0.019793,0.973,0.010284,0.920867,178.333333
qwen,sum,fb237_v1_ind,75,50,32,3,0.814633,0.01075,0.7973,0.013451,0.697933,0.0155,0.668867,0.024203,0.668867,0.024203,0.9175,0.0067,0.977833,0.002491,0.921533,87.9
qwen,sum,fb237_v1_ind,100,50,80,3,0.814467,0.010657,0.798,0.015016,0.694867,0.022806,0.670467,0.034163,0.670467,0.034163,0.912733,0.012266,0.980933,0.009755,0.908767,110.8
qwen,sum,fb237_v1_ind,175,50,32,3,0.813633,0.008958,0.8024,0.013604,0.698067,0.015724,0.676867,0.026672,0.676867,0.026672,0.917533,0.004007,0.977733,0.010228,0.914833,177.133333
qwen,sum,fb237_v1_ind,200,50,48,3,0.8134,0.0064,0.801533,0.01157,0.701333,0.013893,0.675267,0.036057,0.675267,0.036057,0.915967,0.0126,0.979367,0.01004,0.911867,196.533333
qwen,sum,fb237_v1_ind,50,50,96,3,0.813233,0.004954,0.7947,0.009241,0.698133,0.002367,0.664267,0.023774,0.664267,0.023774,0.9128,0.004063,0.984167,0.005493,0.924267,66.566667
qwen,sum,fb237_v1_ind,125,100,16,3,0.812767,0.010289,0.806867,0.02529,0.703267,0.022614,0.687933,0.041488,0.687933,0.041488,0.914267,0.01808,0.976333,0.012153,0.840267,93.6
qwen,sum,fb237_v1_ind,50,50,80,3,0.811533,0.006422,0.791033,0.015976,0.6965,0.010042,0.657933,0.039039,0.657933,0.039039,0.908033,0.008315,0.984067,0.012215,0.930767,66.533333
qwen,sum,fb237_v1_ind,50,50,16,3,0.810333,0.007357,0.794567,0.017905,0.6965,0.00838,0.6611,0.036443,0.6611,0.036443,0.9223,0.003874,0.974633,0.010013,0.9085,65.9
qwen,sum,fb237_v1_ind,50,50,32,3,0.809633,0.013418,0.787233,0.007504,0.688,0.019919,0.654667,0.01464,0.654667,0.01464,0.9112,0.008316,0.974667,0.005508,0.913267,66.066667
qwen,sum,fb237_v1_ind,200,50,16,3,0.809167,0.002316,0.787867,0.024152,0.691333,0.009986,0.654567,0.043594,0.654567,0.043594,0.908033,0.007951,0.9746,0.0076,0.919033,197.7
qwen,sum,fb237_v1_ind,75,50,16,3,0.807967,0.003107,0.7942,0.016061,0.696233,0.007584,0.6687,0.022963,0.6687,0.022963,0.908,0.008747,0.969833,0.007419,0.9036,87
qwen,sum,fb237_v1_ind,100,50,16,3,0.807867,0.00185,0.793467,0.020025,0.6899,0.004503,0.6673,0.039374,0.6673,0.039374,0.909633,0.001504,0.971467,0.009811,0.9135,109.166667
qwen,sum,fb237_v1_ind,175,10,96,3,0.807533,0.014311,0.784167,0.019551,0.689967,0.0148,0.654633,0.036681,0.654633,0.036681,0.904767,0.014069,0.961867,0.013123,0.9411,178.433333
qwen,sum,fb237_v1_ind,100,5,96,3,0.8074,0.01705,0.7826,0.017897,0.691433,0.023464,0.649933,0.040652,0.649933,0.040652,0.906433,0.008765,0.966633,0.017672,0.9411,110.633333
qwen,sum,fb237_v1_ind,100,5,64,3,0.807167,0.012135,0.780133,0.017837,0.6931,0.015804,0.645033,0.043622,0.645033,0.043622,0.901633,0.015677,0.973,0.010284,0.9411,110.666667
qwen,sum,fb237_v1_ind,150,50,32,3,0.806633,0.01035,0.795667,0.015135,0.6908,0.026691,0.6641,0.028968,0.6641,0.028968,0.9159,0.012799,0.976233,0.008214,0.9212,153.5
qwen,sum,fb237_v1_ind,100,5,80,3,0.8066,0.010212,0.775233,0.018178,0.6885,0.006948,0.637333,0.040992,0.637333,0.040992,0.900033,0.014165,0.966667,0.009865,0.9411,109.733333
qwen,sum,fb237_v1_ind,125,10,64,3,0.8062,0.008347,0.779,0.011915,0.691467,0.005346,0.642,0.033436,0.642,0.033436,0.895233,0.014261,0.9682,0.019677,0.9411,132.333333
qwen,sum,fb237_v1_ind,100,10,80,3,0.806167,0.011055,0.783367,0.014478,0.684933,0.009609,0.645167,0.031001,0.645167,0.031001,0.908,0.008747,0.9747,0.006916,0.9411,110.6
qwen,sum,fb237_v1_ind,150,50,16,3,0.806067,0.006326,0.7918,0.014825,0.6881,0.008479,0.659167,0.027583,0.659167,0.027583,0.914333,0.013719,0.979367,0.003092,0.91,153.966667
qwen,sum,fb237_v1_ind,125,50,16,3,0.805967,0.003502,0.791133,0.01769,0.6896,0.00966,0.662633,0.038359,0.662633,0.038359,0.912767,0.008259,0.963467,0.010394,0.909133,131.1
qwen,sum,fb237_v1_ind,175,5,48,3,0.805867,0.013701,0.771533,0.023743,0.6883,0.022454,0.6339,0.041915,0.6339,0.041915,0.889,0.01285,0.9635,0.017068,0.9411,176.566667
qwen,sum,fb237_v1_ind,200,5,64,3,0.805667,0.006889,0.7804,0.026057,0.6849,0.004471,0.640633,0.049456,0.640633,0.049456,0.906467,0.004159,0.9667,0.005027,0.9411,196.4
qwen,sum,fb237_v1_ind,150,10,32,3,0.805133,0.006004,0.774933,0.01533,0.689933,0.009651,0.638867,0.035869,0.638867,0.035869,0.893733,0.00899,0.958733,0.012271,0.940933,156.033333
qwen,sum,fb237_v1_ind,200,5,96,3,0.805067,0.019597,0.786767,0.016782,0.684767,0.02642,0.6563,0.038393,0.6563,0.038393,0.907867,0.01934,0.9635,0.012275,0.9411,197.566667
qwen,sum,fb237_v1_ind,125,10,96,3,0.804533,0.010804,0.776433,0.021671,0.681733,0.012127,0.6357,0.047909,0.6357,0.047909,0.9096,0.00956,0.9714,0.008663,0.9411,133.066667
qwen,sum,fb237_v1_ind,75,5,80,3,0.804267,0.014133,0.7741,0.01552,0.683567,0.013808,0.640433,0.035751,0.640433,0.035751,0.896867,0.008918,0.969733,0.015824,0.9411,88
qwen,sum,fb237_v1_ind,150,10,64,3,0.804133,0.009504,0.778467,0.021724,0.6814,0.014212,0.642067,0.047827,0.642067,0.047827,0.898467,0.0089,0.969733,0.019775,0.9406,156.566667
qwen,sum,fb237_v1_ind,150,10,48,3,0.804133,0.011396,0.772033,0.025517,0.6911,0.019597,0.632567,0.054959,0.632567,0.054959,0.900033,0.01115,0.960333,0.014801,0.940933,155
