method,model,aggregation,base_version,n_seeds,train_acc_mean,train_acc_std,valid_acc_mean,valid_acc_std,mrr_mean,mrr_std,hits_1_mean,hits_1_std,hits_3_mean,hits_3_std,hits_10_mean,hits_10_std,conformal_cov_a0.01_mean,conformal_cov_a0.01_std,conformal_size_a0.01_mean,conformal_size_a0.01_std,conformal_cov_a0.05_mean,conformal_cov_a0.05_std,conformal_size_a0.05_mean,conformal_size_a0.05_std,conformal_cov_a0.1_mean,conformal_cov_a0.1_std,conformal_size_a0.1_mean,conformal_size_a0.1_std
DistMult,roberta,sum,fb237_v2_ind,10,0.829141,0.006321,0.53187,0.013734,0.685634,0.01512,0.507404,0.019983,0.855179,0.013783,0.938899,0.012649,0.991123,0.004342,75.89898,15.527621,0.948821,0.012469,11.44618,3.158483,0.900412,0.012645,4.21863,0.5735
ComplEx,roberta,sum,fb237_v2_ind,10,0.818704,0.017562,0.534196,0.016468,0.689954,0.016855,0.518163,0.019765,0.852202,0.018012,0.936988,0.018177,0.992197,0.006097,75.28404,10.342031,0.955196,0.011125,14.04136,5.043221,0.899743,0.020025,4.53547,0.996916
RotatE,roberta,sum,fb237_v2_ind,10,0.812081,0.009366,0.544251,0.015159,0.686631,0.020603,0.52042,0.026457,0.840586,0.019222,0.925572,0.012143,1,0,172,0,0.9491,0.00705,22.45258,5.343765,0.893035,0.017827,7.94821,1.77229
IMC,roberta,sum,fb237_v2_ind,10,0.827966,0.016727,0.678947,0.019796,0.792215,0.009186,0.667142,0.012827,0.904688,0.012562,0.971671,0.008062,0.99049,0.007797,21.08958,8.847166,0.944662,0.015187,3.45339,0.613374,0.892757,0.013368,1.9948,0.185964
TyleR,roberta,sum,fb237_v2_ind,10,0.730488,0.020991,0.479675,0.030534,0.615808,0.024106,0.473514,0.028125,0.722121,0.02644,0.84294,0.018441,1,0,172,0,1,0,172,0,1,0,172,0
feature_translation,qwen,sum,fb237_v3_ind,10,0.533674,0.002541,0.490051,0.018665,0.588378,0.009886,0.492594,0.010546,0.63354,0.013482,0.766473,0.013275,0.990396,0.004055,109.10091,12.546311,0.954558,0.007152,47.83279,5.815332,0.9045,0.011707,20.3585,1.768441
lr_concat,qwen,sum,fb237_v3_ind,10,0.870998,0.001367,0.724918,0.011723,0.827406,0.00771,0.722529,0.010522,0.924726,0.00938,0.980466,0.004125,0.991782,0.004527,13.54889,6.555899,0.951904,0.014611,2.79759,0.421392,0.895745,0.018983,1.6682,0.083953
lr_subtract,qwen,sum,fb237_v3_ind,10,0.777271,0.002888,0.679993,0.009545,0.767006,0.008831,0.668762,0.011945,0.844517,0.009988,0.918206,0.007295,0.989733,0.006397,50.92326,15.668738,0.953178,0.011945,10.48145,1.983475,0.896991,0.015475,4.02712,0.733273
rf_concat,qwen,sum,fb237_v3_ind,10,0.826566,0.007598,0.6859,0.012264,0.783013,0.013345,0.680196,0.016534,0.863352,0.013827,0.941956,0.006111,0.99338,0.003294,53.99676,18.420502,0.952158,0.010147,7.95159,1.476457,0.902922,0.013375,3.36937,0.361895
rf_subtract,qwen,sum,fb237_v3_ind,10,0.807234,0.003378,0.570646,0.01521,0.673149,0.010117,0.563394,0.011935,0.750045,0.013147,0.861435,0.015702,0.995887,0.006807,150.37516,52.685195,0.949969,0.011958,27.12,5.91402,0.901341,0.015348,12.25787,0.965292
lgbm_concat,qwen,sum,fb237_v3_ind,10,0.92996,0.00162,0.681982,0.011331,0.787845,0.009287,0.682787,0.008494,0.883233,0.014088,0.929435,0.012743,0.99133,0.006558,81.33317,20.62696,0.948171,0.01123,13.00211,4.958986,0.898328,0.014846,3.23992,0.698511
lgbm_subtract,qwen,sum,fb237_v3_ind,10,0.930177,0.001678,0.577796,0.012683,0.697477,0.010503,0.578937,0.012438,0.791054,0.012029,0.882012,0.00981,0.990523,0.005449,106.96428,12.012221,0.947349,0.010884,36.15924,9.347883,0.896732,0.013548,11.35082,2.167408
DistMult,qwen,sum,fb237_v3_ind,10,0.854997,0.004185,0.621435,0.009515,0.755491,0.008005,0.608201,0.008659,0.888158,0.013442,0.964699,0.006027,0.992597,0.003585,44.04728,13.677186,0.946354,0.013772,4.7966,0.81425,0.894265,0.01723,2.43454,0.17476
ComplEx,qwen,sum,fb237_v3_ind,10,0.851212,0.010701,0.62328,0.011465,0.753999,0.010677,0.608166,0.013631,0.88278,0.013847,0.96472,0.004781,0.992365,0.003839,38.82688,11.763917,0.944174,0.01396,4.82148,1.107085,0.896656,0.0191,2.45149,0.1483
RotatE,qwen,sum,fb237_v3_ind,10,0.840112,0.009357,0.62244,0.011393,0.750627,0.011749,0.60555,0.015597,0.879244,0.013804,0.961165,0.005255,0.992016,0.004168,51.89867,16.587184,0.948755,0.014711,6.24169,1.443804,0.891052,0.016736,2.8315,0.303026
IMC,qwen,sum,fb237_v3_ind,10,0.86022,0.011026,0.732534,0.014748,0.827978,0.009738,0.724888,0.012075,0.926307,0.008254,0.982641,0.004457,0.991448,0.005431,11.02016,3.672291,0.950791,0.015898,2.64699,0.369318,0.898919,0.017803,1.6591,0.100109
TyleR,qwen,sum,fb237_v3_ind,10,0.747598,0.020733,0.560633,0.030137,0.675141,0.016198,0.548741,0.017491,0.769419,0.023362,0.883286,0.010923,1,0,183,0,1,0,183,0,1,0,183,0
feature_translation,roberta,sum,fb237_v3_ind,10,0.561144,0.003332,0.512826,0.019559,0.612591,0.014063,0.510332,0.017962,0.664941,0.012351,0.808179,0.017014,0.992467,0.004643,102.10323,10.298327,0.951217,0.007656,29.2697,4.567411,0.900172,0.012814,12.8947,1.028582
lr_concat,roberta,sum,fb237_v3_ind,10,0.853454,0.001402,0.716392,0.008718,0.814964,0.009993,0.709878,0.013185,0.90656,0.011427,0.97419,0.005925,0.992116,0.002721,15.068,4.495049,0.950326,0.015069,3.36939,0.809792,0.897077,0.014126,1.86173,0.108185
lr_subtract,roberta,sum,fb237_v3_ind,10,0.763638,0.001799,0.669393,0.016133,0.760279,0.012189,0.663402,0.015799,0.833806,0.012487,0.915724,0.009033,0.990182,0.004489,56.23571,17.555986,0.95522,0.008966,11.2578,2.197797,0.89916,0.011352,4.47362,0.578459
rf_concat,roberta,sum,fb237_v3_ind,10,0.835964,0.004942,0.69028,0.013971,0.781702,0.010835,0.681081,0.013584,0.861789,0.012506,0.939023,0.007228,0.991647,0.005269,58.73304,45.714493,0.94928,0.007345,8.19761,1.605915,0.899044,0.015454,3.4627,0.442726
rf_subtract,roberta,sum,fb237_v3_ind,10,0.821842,0.003897,0.576966,0.015334,0.683785,0.012655,0.577908,0.014137,0.752118,0.01594,0.865246,0.013095,0.996127,0.006265,152.37209,49.345888,0.951837,0.011885,26.43758,6.034286,0.904354,0.014707,12.182,1.376349
lgbm_concat,roberta,sum,fb237_v3_ind,10,0.930068,0.001624,0.674379,0.010675,0.777626,0.012912,0.670009,0.013806,0.874932,0.016378,0.924737,0.011727,0.991778,0.006325,85.68623,17.927897,0.950544,0.013026,15.67626,5.282544,0.900413,0.01903,3.74046,0.814309
lgbm_subtract,roberta,sum,fb237_v3_ind,10,0.930163,0.001671,0.575955,0.012256,0.692029,0.011777,0.575679,0.012416,0.77982,0.012739,0.877596,0.009902,0.992694,0.003882,109.43604,11.505133,0.953082,0.007379,39.12201,7.134289,0.90032,0.011556,12.68001,1.978083
DistMult,roberta,sum,fb237_v3_ind,10,0.84694,0.011159,0.617353,0.008874,0.739718,0.011327,0.5947,0.013617,0.867558,0.014474,0.95616,0.007555,0.991325,0.004371,50.55064,15.303449,0.947714,0.011009,6.60625,1.424685,0.894956,0.013459,2.98296,0.252505
ComplEx,roberta,sum,fb237_v3_ind,10,0.84167,0.016357,0.617495,0.011986,0.741783,0.011483,0.599125,0.014309,0.863211,0.015806,0.954573,0.008228,0.990294,0.006251,65.35983,45.200392,0.947378,0.012553,7.09185,1.851608,0.897819,0.015845,3.042,0.252831
RotatE,roberta,sum,fb237_v3_ind,10,0.826645,0.006418,0.623476,0.009642,0.742487,0.013686,0.607493,0.01683,0.8577,0.013836,0.948186,0.009908,0.99245,0.005454,85.9398,52.050709,0.947683,0.013474,10.23965,3.889869,0.895325,0.018212,3.91363,0.415315
IMC,roberta,sum,fb237_v3_ind,10,0.837253,0.007427,0.724692,0.011672,0.815215,0.009044,0.710014,0.011671,0.907358,0.011398,0.974524,0.004642,0.992915,0.003486,15.07964,8.316008,0.951808,0.013378,3.31463,0.748457,0.897671,0.013964,1.82968,0.087421
TyleR,roberta,sum,fb237_v3_ind,10,0.759303,0.014898,0.573275,0.020379,0.675336,0.016984,0.553897,0.023309,0.76894,0.014348,0.879093,0.01026,1,0,183,0,1,0,183,0,1,0,183,0
