model,aggregation,version,k,lambda,bias,seed,valid_acc,test_acc,train_acc,valid_mrr,test_mrr,hits_1,hits_3,hits_10,train_time,convergence
qwen,sum,fb237_v1_ind_seed7001,75,1.0,80,7001,0.6839,0.6308,0.9409,0.8036,0.7713,0.6308,0.8972,0.9579,86.4,Reach max iteration 50 | best_iter=38
qwen,sum,fb237_v1_ind_seed7005,75,1.0,80,7005,0.6573,0.6095,0.9414,0.78,0.7625,0.6095,0.9095,0.9762,87.4,Reach max iteration 50 | best_iter=49
qwen,sum,fb237_v1_ind_seed7009,75,1.0,80,7009,0.6497,0.6618,0.941,0.7836,0.7757,0.6618,0.8792,0.942,87.0,Reach max iteration 50 | best_iter=15
qwen,sum,fb237_v1_ind_seed7001,75,1.0,96,7001,0.6839,0.6589,0.9409,0.8062,0.7883,0.6589,0.8972,0.9673,86.0,Reach max iteration 50 | best_iter=31
qwen,sum,fb237_v1_ind_seed7005,75,1.0,96,7005,0.662,0.6048,0.9414,0.7854,0.7515,0.6048,0.8714,0.9619,86.3,Reach max iteration 50 | best_iter=33
qwen,sum,fb237_v1_ind_seed7009,75,1.0,96,7009,0.6548,0.6715,0.941,0.7791,0.7865,0.6715,0.8889,0.9517,88.3,Reach max iteration 50 | best_iter=47
qwen,sum,fb237_v1_ind_seed7001,75,5.0,16,7001,0.6891,0.6636,0.9409,0.7973,0.7927,0.6636,0.9112,0.9673,86.5,Reach max iteration 50 | best_iter=33
qwen,sum,fb237_v1_ind_seed7005,75,5.0,16,7005,0.6667,0.5857,0.9414,0.7793,0.7365,0.5857,0.8762,0.9286,86.1,Reach max iteration 50 | best_iter=13
qwen,sum,fb237_v1_ind_seed7009,75,5.0,16,7009,0.665,0.6618,0.941,0.7813,0.7807,0.6618,0.8889,0.9614,86.5,Reach max iteration 50 | best_iter=27
qwen,sum,fb237_v1_ind_seed7001,75,5.0,32,7001,0.6891,0.6589,0.9409,0.8115,0.7884,0.6589,0.9065,0.972,87.5,Reach max iteration 50 | best_iter=33
qwen,sum,fb237_v1_ind_seed7005,75,5.0,32,7005,0.6761,0.5857,0.9414,0.7879,0.7371,0.5857,0.881,0.9619,87.5,Reach max iteration 50 | best_iter=23
qwen,sum,fb237_v1_ind_seed7009,75,5.0,32,7009,0.6599,0.6812,0.941,0.7902,0.7975,0.6812,0.8986,0.9517,88.1,Reach max iteration 50 | best_iter=20
qwen,sum,fb237_v1_ind_seed7001,75,5.0,48,7001,0.6943,0.6402,0.9409,0.812,0.7802,0.6402,0.9065,0.9766,87.2,Reach max iteration 50 | best_iter=15
qwen,sum,fb237_v1_ind_seed7005,75,5.0,48,7005,0.6667,0.6,0.9414,0.7918,0.7537,0.6,0.8857,0.981,88.3,Reach max iteration 50 | best_iter=47
qwen,sum,fb237_v1_ind_seed7009,75,5.0,48,7009,0.6701,0.6473,0.941,0.7915,0.7727,0.6473,0.8889,0.9372,87.3,Reach max iteration 50 | best_iter=8
qwen,sum,fb237_v1_ind_seed7001,75,5.0,64,7001,0.6943,0.6449,0.9409,0.8126,0.7852,0.6449,0.9206,0.9766,87.5,Reach max iteration 50 | best_iter=41
qwen,sum,fb237_v1_ind_seed7005,75,5.0,64,7005,0.6901,0.6238,0.9414,0.7994,0.7686,0.6238,0.8952,0.9762,88.0,Reach max iteration 50 | best_iter=22
qwen,sum,fb237_v1_ind_seed7009,75,5.0,64,7009,0.6701,0.6667,0.941,0.7924,0.7846,0.6667,0.8937,0.9517,87.8,Reach max iteration 50 | best_iter=49
qwen,sum,fb237_v1_ind_seed7001,75,5.0,80,7001,0.6995,0.6402,0.9409,0.8205,0.7758,0.6402,0.9065,0.9813,87.8,Reach max iteration 50 | best_iter=26
qwen,sum,fb237_v1_ind_seed7005,75,5.0,80,7005,0.6761,0.6048,0.9414,0.7947,0.7578,0.6048,0.8952,0.9762,88.3,Reach max iteration 50 | best_iter=25
qwen,sum,fb237_v1_ind_seed7009,75,5.0,80,7009,0.6751,0.6763,0.941,0.7976,0.7887,0.6763,0.8889,0.9517,87.9,Reach max iteration 50 | best_iter=13
qwen,sum,fb237_v1_ind_seed7001,75,5.0,96,7001,0.6788,0.6449,0.9409,0.8106,0.7804,0.6449,0.9065,0.9626,87.6,Reach max iteration 50 | best_iter=43
qwen,sum,fb237_v1_ind_seed7005,75,5.0,96,7005,0.6761,0.6048,0.9414,0.7932,0.7629,0.6048,0.9095,0.9762,86.8,Reach max iteration 50 | best_iter=42
qwen,sum,fb237_v1_ind_seed7009,75,5.0,96,7009,0.6599,0.6763,0.941,0.7896,0.786,0.6763,0.8841,0.942,87.7,Reach max iteration 50 | best_iter=38
qwen,sum,fb237_v1_ind_seed7001,75,10.0,16,7001,0.6788,0.6449,0.9409,0.7988,0.7803,0.6449,0.8972,0.9626,87.5,Reach max iteration 50 | best_iter=27
qwen,sum,fb237_v1_ind_seed7005,75,10.0,16,7005,0.6573,0.5857,0.9414,0.7827,0.7414,0.5857,0.8762,0.9619,86.4,Reach max iteration 50 | best_iter=5
qwen,sum,fb237_v1_ind_seed7009,75,10.0,16,7009,0.6599,0.6667,0.941,0.786,0.7843,0.6667,0.8841,0.942,87.7,Reach max iteration 50 | best_iter=24
qwen,sum,fb237_v1_ind_seed7001,75,10.0,32,7001,0.6839,0.6308,0.9409,0.8082,0.7761,0.6308,0.9159,0.9673,88.0,Reach max iteration 50 | best_iter=48
qwen,sum,fb237_v1_ind_seed7005,75,10.0,32,7005,0.6901,0.6048,0.9414,0.8027,0.7564,0.6048,0.9048,0.9571,87.1,Reach max iteration 50 | best_iter=6
qwen,sum,fb237_v1_ind_seed7009,75,10.0,32,7009,0.6701,0.6715,0.941,0.7899,0.7907,0.6715,0.8986,0.9469,88.7,Reach max iteration 50 | best_iter=4
qwen,sum,fb237_v1_ind_seed7001,75,10.0,48,7001,0.6788,0.6449,0.9409,0.8062,0.7856,0.6449,0.9065,0.9673,88.0,Reach max iteration 50 | best_iter=11
qwen,sum,fb237_v1_ind_seed7005,75,10.0,48,7005,0.6667,0.6,0.9414,0.7894,0.759,0.6,0.9143,0.981,87.1,Reach max iteration 50 | best_iter=6
qwen,sum,fb237_v1_ind_seed7009,75,10.0,48,7009,0.6599,0.686,0.941,0.7882,0.7965,0.686,0.8937,0.9517,88.5,Reach max iteration 50 | best_iter=4
qwen,sum,fb237_v1_ind_seed7001,75,10.0,64,7001,0.6943,0.6308,0.9409,0.8142,0.7753,0.6308,0.9159,0.9766,87.9,Reach max iteration 50 | best_iter=12
qwen,sum,fb237_v1_ind_seed7005,75,10.0,64,7005,0.6854,0.6095,0.9414,0.8035,0.7674,0.6095,0.9095,0.981,88.0,Reach max iteration 50 | best_iter=33
qwen,sum,fb237_v1_ind_seed7009,75,10.0,64,7009,0.6599,0.6618,0.941,0.792,0.7868,0.6618,0.8986,0.9469,87.9,Reach max iteration 50 | best_iter=12
qwen,sum,fb237_v1_ind_seed7001,75,10.0,80,7001,0.6943,0.6402,0.9409,0.8154,0.7844,0.6402,0.9252,0.9626,86.1,Reach max iteration 50 | best_iter=39
qwen,sum,fb237_v1_ind_seed7005,75,10.0,80,7005,0.6901,0.6095,0.9414,0.8002,0.7652,0.6095,0.919,0.9762,85.5,Reach max iteration 50 | best_iter=34
qwen,sum,fb237_v1_ind_seed7009,75,10.0,80,7009,0.6701,0.6667,0.9405,0.7962,0.7883,0.6667,0.8889,0.9614,87.7,Reach max iteration 50 | best_iter=3
qwen,sum,fb237_v1_ind_seed7001,75,10.0,96,7001,0.6891,0.6495,0.9409,0.8158,0.7866,0.6495,0.9206,0.972,87.9,Reach max iteration 50 | best_iter=29
qwen,sum,fb237_v1_ind_seed7005,75,10.0,96,7005,0.6761,0.581,0.9414,0.7963,0.7477,0.581,0.9,0.9762,87.2,Reach max iteration 50 | best_iter=15
qwen,sum,fb237_v1_ind_seed7009,75,10.0,96,7009,0.6599,0.6667,0.941,0.7901,0.7837,0.6667,0.8792,0.9614,88.7,Reach max iteration 50 | best_iter=22
qwen,sum,fb237_v1_ind_seed7001,75,50.0,16,7001,0.6891,0.6869,0.8973,0.8045,0.8106,0.6869,0.9159,0.9766,85.9,Reach max iteration 50 | best_iter=4
qwen,sum,fb237_v1_ind_seed7005,75,50.0,16,7005,0.7042,0.6429,0.8955,0.8105,0.7785,0.6429,0.9095,0.9619,88.1,Reach max iteration 50 | best_iter=2
qwen,sum,fb237_v1_ind_seed7009,75,50.0,16,7009,0.6954,0.6763,0.918,0.8089,0.7935,0.6763,0.8986,0.971,87.0,Reach max iteration 50 | best_iter=27
qwen,sum,fb237_v1_ind_seed7001,75,50.0,32,7001,0.7047,0.6729,0.9264,0.8242,0.8017,0.6729,0.9252,0.9766,87.4,Reach max iteration 50 | best_iter=47
qwen,sum,fb237_v1_ind_seed7005,75,50.0,32,7005,0.7089,0.6429,0.9152,0.8167,0.7822,0.6429,0.9143,0.9762,88.5,Reach max iteration 50 | best_iter=3
qwen,sum,fb237_v1_ind_seed7009,75,50.0,32,7009,0.6802,0.6908,0.923,0.803,0.808,0.6908,0.913,0.9807,87.8,Reach max iteration 50 | best_iter=10
qwen,sum,fb237_v1_ind_seed7001,75,50.0,48,7001,0.7202,0.6682,0.9259,0.8269,0.8008,0.6682,0.9252,0.9766,88.5,Reach max iteration 50 | best_iter=6
qwen,sum,fb237_v1_ind_seed7005,75,50.0,48,7005,0.7183,0.6286,0.9268,0.8196,0.7838,0.6286,0.9333,0.9905,88.0,Reach max iteration 50 | best_iter=9
qwen,sum,fb237_v1_ind_seed7009,75,50.0,48,7009,0.6904,0.6908,0.9135,0.8121,0.806,0.6908,0.913,0.9614,88.4,Reach max iteration 50 | best_iter=3
qwen,sum,fb237_v1_ind_seed7001,75,50.0,64,7001,0.7098,0.6495,0.9309,0.8221,0.7903,0.6495,0.9252,0.9813,88.3,Reach max iteration 50 | best_iter=33
qwen,sum,fb237_v1_ind_seed7005,75,50.0,64,7005,0.7136,0.6333,0.9324,0.8134,0.7811,0.6333,0.9238,0.9905,88.5,Reach max iteration 50 | best_iter=42
qwen,sum,fb237_v1_ind_seed7009,75,50.0,64,7009,0.7005,0.7005,0.8955,0.8152,0.8177,0.7005,0.9275,0.9662,88.5,Reach max iteration 50 | best_iter=2
qwen,sum,fb237_v1_ind_seed7001,75,50.0,80,7001,0.6995,0.6636,0.9304,0.8194,0.7959,0.6636,0.9252,0.9766,87.3,Reach max iteration 50 | best_iter=9
qwen,sum,fb237_v1_ind_seed7005,75,50.0,80,7005,0.7183,0.6714,0.9036,0.822,0.8014,0.6714,0.919,0.9905,87.5,Reach max iteration 50 | best_iter=3
qwen,sum,fb237_v1_ind_seed7009,75,50.0,80,7009,0.6751,0.7005,0.9225,0.8044,0.8086,0.7005,0.9034,0.9758,86.7,Reach max iteration 50 | best_iter=5
qwen,sum,fb237_v1_ind_seed7001,75,50.0,96,7001,0.7098,0.6682,0.9319,0.8229,0.8001,0.6682,0.9252,0.9813,89.3,Reach max iteration 50 | best_iter=10
qwen,sum,fb237_v1_ind_seed7005,75,50.0,96,7005,0.6995,0.6762,0.9313,0.81,0.8044,0.6762,0.9286,0.9905,88.3,Reach max iteration 50 | best_iter=11
qwen,sum,fb237_v1_ind_seed7009,75,50.0,96,7009,0.7157,0.744,0.888,0.821,0.8379,0.744,0.9227,0.9855,88.6,Reach max iteration 50 | best_iter=2
qwen,sum,fb237_v1_ind_seed7001,75,100.0,16,7001,0.7461,0.715,0.8483,0.8364,0.8245,0.715,0.9206,0.9673,63.7,Reach max iteration 50 | best_iter=25
qwen,sum,fb237_v1_ind_seed7005,75,100.0,16,7005,0.6948,0.6476,0.8536,0.8104,0.7791,0.6476,0.9095,0.9857,60.2,Reach max iteration 50 | best_iter=9
qwen,sum,fb237_v1_ind_seed7009,75,100.0,16,7009,0.7005,0.7198,0.8495,0.8144,0.8206,0.7198,0.8986,0.971,59.0,Reach max iteration 50 | best_iter=7
qwen,sum,fb237_v1_ind_seed7001,75,100.0,32,7001,0.7306,0.7196,0.8578,0.8332,0.828,0.7196,0.9065,0.9813,81.0,Reach max iteration 50 | best_iter=44
qwen,sum,fb237_v1_ind_seed7005,75,100.0,32,7005,0.6995,0.6714,0.8486,0.8134,0.7993,0.6714,0.919,0.9905,72.9,Reach max iteration 50 | best_iter=4
qwen,sum,fb237_v1_ind_seed7009,75,100.0,32,7009,0.6802,0.7053,0.867,0.8031,0.8149,0.7053,0.9179,0.9807,75.4,Reach max iteration 50 | best_iter=11
qwen,sum,fb237_v1_ind_seed7001,75,100.0,48,7001,0.7358,0.7243,0.8503,0.8313,0.8299,0.7243,0.9206,0.9813,87.8,Reach max iteration 50 | best_iter=5
qwen,sum,fb237_v1_ind_seed7005,75,100.0,48,7005,0.7042,0.6857,0.8607,0.8182,0.8117,0.6857,0.9333,0.9905,87.8,Reach max iteration 50 | best_iter=7
qwen,sum,fb237_v1_ind_seed7009,75,100.0,48,7009,0.6751,0.715,0.873,0.8039,0.8207,0.715,0.9034,0.9807,88.4,Reach max iteration 50 | best_iter=7
qwen,sum,fb237_v1_ind_seed7001,75,100.0,64,7001,0.7513,0.7056,0.8683,0.8408,0.8233,0.7056,0.9252,0.9813,88.4,Reach max iteration 50 | best_iter=34
qwen,sum,fb237_v1_ind_seed7005,75,100.0,64,7005,0.7136,0.6857,0.8783,0.8195,0.8099,0.6857,0.9333,0.9905,87.8,Reach max iteration 50 | best_iter=11
qwen,sum,fb237_v1_ind_seed7009,75,100.0,64,7009,0.7005,0.7246,0.877,0.814,0.8245,0.7246,0.9034,0.9807,88.1,Reach max iteration 50 | best_iter=7
qwen,sum,fb237_v1_ind_seed7001,75,100.0,80,7001,0.7513,0.6869,0.8703,0.8421,0.8112,0.6869,0.9159,0.9766,88.4,Reach max iteration 50 | best_iter=6
qwen,sum,fb237_v1_ind_seed7005,75,100.0,80,7005,0.7371,0.681,0.8556,0.8339,0.8074,0.681,0.9333,0.981,88.6,Reach max iteration 50 | best_iter=3
qwen,sum,fb237_v1_ind_seed7009,75,100.0,80,7009,0.6904,0.7246,0.882,0.8106,0.8258,0.7246,0.9082,0.9758,87.7,Reach max iteration 50 | best_iter=6
qwen,sum,fb237_v1_ind_seed7001,75,100.0,96,7001,0.7513,0.715,0.8648,0.8456,0.8275,0.715,0.9252,0.986,87.8,Reach max iteration 50 | best_iter=6
qwen,sum,fb237_v1_ind_seed7005,75,100.0,96,7005,0.7277,0.6905,0.8829,0.8281,0.8137,0.6905,0.9286,0.9905,88.2,Reach max iteration 50 | best_iter=8
qwen,sum,fb237_v1_ind_seed7009,75,100.0,96,7009,0.7005,0.7295,0.8805,0.8181,0.8263,0.7295,0.9082,0.9807,88.1,Reach max iteration 50 | best_iter=6
qwen,sum,fb237_v1_ind_seed7001,75,500.0,16,7001,0.5907,0.5748,0.5679,0.7158,0.704,0.5748,0.8037,0.8879,41.3,Reach max iteration 50 | best_iter=24
qwen,sum,fb237_v1_ind_seed7005,75,500.0,16,7005,0.507,0.5143,0.5447,0.6495,0.647,0.5143,0.7476,0.8476,42.1,Reach max iteration 50 | best_iter=14
qwen,sum,fb237_v1_ind_seed7009,75,500.0,16,7009,0.5431,0.5894,0.56,0.69,0.7067,0.5894,0.7826,0.913,41.4,Reach max iteration 50 | best_iter=39
qwen,sum,fb237_v1_ind_seed7001,75,500.0,32,7001,0.658,0.6121,0.6234,0.7606,0.7327,0.6121,0.8178,0.9112,42.9,Reach max iteration 50 | best_iter=14
qwen,sum,fb237_v1_ind_seed7005,75,500.0,32,7005,0.5915,0.5619,0.6093,0.7237,0.6985,0.5619,0.819,0.8762,43.0,Reach max iteration 50 | best_iter=12
qwen,sum,fb237_v1_ind_seed7009,75,500.0,32,7009,0.5838,0.6329,0.614,0.7216,0.7475,0.6329,0.8261,0.9179,42.5,Reach max iteration 50 | best_iter=38
qwen,sum,fb237_v1_ind_seed7001,75,500.0,48,7001,0.6477,0.6262,0.6465,0.7604,0.7471,0.6262,0.8364,0.9393,43.6,Reach max iteration 50 | best_iter=39
qwen,sum,fb237_v1_ind_seed7005,75,500.0,48,7005,0.6244,0.6048,0.6471,0.7443,0.7275,0.6048,0.8238,0.919,44.1,Reach max iteration 50 | best_iter=14
qwen,sum,fb237_v1_ind_seed7009,75,500.0,48,7009,0.6193,0.686,0.6585,0.7491,0.7848,0.686,0.8647,0.9179,44.0,Reach max iteration 50 | best_iter=13
qwen,sum,fb237_v1_ind_seed7001,75,500.0,64,7001,0.6632,0.6449,0.671,0.7695,0.7605,0.6449,0.8458,0.9393,48.5,Reach max iteration 50 | best_iter=16
qwen,sum,fb237_v1_ind_seed7005,75,500.0,64,7005,0.6385,0.6095,0.6638,0.757,0.7349,0.6095,0.8286,0.9238,50.8,Reach max iteration 50 | best_iter=37
qwen,sum,fb237_v1_ind_seed7009,75,500.0,64,7009,0.6193,0.6957,0.67,0.7537,0.7924,0.6957,0.8647,0.9275,47.7,Reach max iteration 50 | best_iter=28
qwen,sum,fb237_v1_ind_seed7001,75,500.0,80,7001,0.6839,0.6682,0.6785,0.7842,0.7794,0.6682,0.8738,0.9579,52.3,Reach max iteration 50 | best_iter=37
qwen,sum,fb237_v1_ind_seed7005,75,500.0,80,7005,0.6667,0.6286,0.6835,0.7757,0.7513,0.6286,0.8524,0.9333,53.9,Reach max iteration 50 | best_iter=36
qwen,sum,fb237_v1_ind_seed7009,75,500.0,80,7009,0.6345,0.7005,0.6765,0.7617,0.7985,0.7005,0.8744,0.9372,56.7,Reach max iteration 50 | best_iter=41
qwen,sum,fb237_v1_ind_seed7001,75,500.0,96,7001,0.6943,0.6682,0.686,0.7899,0.7804,0.6682,0.8738,0.9579,67.7,Reach max iteration 50 | best_iter=18
qwen,sum,fb237_v1_ind_seed7005,75,500.0,96,7005,0.6667,0.6429,0.6956,0.7797,0.7602,0.6429,0.8524,0.9476,57.9,Reach max iteration 50 | best_iter=17
qwen,sum,fb237_v1_ind_seed7009,75,500.0,96,7009,0.6294,0.6908,0.6955,0.7648,0.7943,0.6908,0.8792,0.942,57.7,Reach max iteration 50 | best_iter=19
qwen,sum,fb237_v1_ind_seed7001,75,1000.0,16,7001,0.3109,0.271,0.2994,0.4496,0.429,0.271,0.4907,0.757,39.9,Reach max iteration 50 | best_iter=1
qwen,sum,fb237_v1_ind_seed7005,75,1000.0,16,7005,0.2629,0.2714,0.2857,0.4057,0.4268,0.2714,0.4857,0.7667,28.3,Reach max iteration 50 | best_iter=1
qwen,sum,fb237_v1_ind_seed7009,75,1000.0,16,7009,0.2386,0.2899,0.2865,0.4087,0.4383,0.2899,0.4976,0.7391,35.0,Reach max iteration 50 | best_iter=1
qwen,sum,fb237_v1_ind_seed7001,75,1000.0,32,7001,0.4456,0.4299,0.4166,0.563,0.5666,0.4299,0.6495,0.8178,39.7,Reach max iteration 50 | best_iter=48
qwen,sum,fb237_v1_ind_seed7005,75,1000.0,32,7005,0.3662,0.3571,0.4149,0.5095,0.5121,0.3571,0.6143,0.8,40.7,Reach max iteration 50 | best_iter=45
qwen,sum,fb237_v1_ind_seed7009,75,1000.0,32,7009,0.3147,0.3043,0.323,0.4454,0.4411,0.3043,0.4879,0.7198,40.5,Reach max iteration 50 | best_iter=34
qwen,sum,fb237_v1_ind_seed7001,75,1000.0,48,7001,0.4715,0.4393,0.4602,0.609,0.6002,0.4393,0.7103,0.8551,39.9,Reach max iteration 50 | best_iter=47
qwen,sum,fb237_v1_ind_seed7005,75,1000.0,48,7005,0.3897,0.4048,0.4609,0.5409,0.5598,0.4048,0.6571,0.8381,40.3,Reach max iteration 50 | best_iter=25
qwen,sum,fb237_v1_ind_seed7009,75,1000.0,48,7009,0.4162,0.4493,0.4575,0.5735,0.5916,0.4493,0.686,0.8357,40.5,Reach max iteration 50 | best_iter=48
qwen,sum,fb237_v1_ind_seed7001,75,1000.0,64,7001,0.4974,0.4953,0.4907,0.6309,0.6372,0.4953,0.743,0.8551,40.7,Reach max iteration 50 | best_iter=46
qwen,sum,fb237_v1_ind_seed7005,75,1000.0,64,7005,0.4272,0.4619,0.5008,0.5817,0.603,0.4619,0.6905,0.8476,41.2,Reach max iteration 50 | best_iter=9
qwen,sum,fb237_v1_ind_seed7009,75,1000.0,64,7009,0.4569,0.4976,0.5005,0.6054,0.6249,0.4976,0.7101,0.8647,40.4,Reach max iteration 50 | best_iter=19
qwen,sum,fb237_v1_ind_seed7001,75,1000.0,80,7001,0.5648,0.5421,0.5243,0.6823,0.6681,0.5421,0.743,0.8692,41.6,Reach max iteration 50 | best_iter=14
qwen,sum,fb237_v1_ind_seed7005,75,1000.0,80,7005,0.4366,0.4524,0.5144,0.5922,0.6078,0.4524,0.7333,0.8667,41.7,Reach max iteration 50 | best_iter=46
qwen,sum,fb237_v1_ind_seed7009,75,1000.0,80,7009,0.4873,0.5314,0.5305,0.6422,0.6586,0.5314,0.7488,0.8841,41.4,Reach max iteration 50 | best_iter=9
qwen,sum,fb237_v1_ind_seed7001,75,1000.0,96,7001,0.544,0.5234,0.5183,0.6761,0.6616,0.5234,0.7617,0.8645,42.0,Reach max iteration 50 | best_iter=15
qwen,sum,fb237_v1_ind_seed7005,75,1000.0,96,7005,0.4554,0.4667,0.5215,0.6117,0.6253,0.4667,0.7476,0.8667,42.5,Reach max iteration 50 | best_iter=21
qwen,sum,fb237_v1_ind_seed7009,75,1000.0,96,7009,0.4924,0.5169,0.5305,0.6447,0.6615,0.5169,0.7681,0.8841,42.2,Reach max iteration 50 | best_iter=24
qwen,sum,fb237_v1_ind_seed7001,100,1.0,16,7001,0.6684,0.6589,0.9409,0.7869,0.783,0.6589,0.8879,0.972,110.0,Reach max iteration 50 | best_iter=49
qwen,sum,fb237_v1_ind_seed7005,100,1.0,16,7005,0.662,0.581,0.9414,0.7855,0.7294,0.581,0.8571,0.9476,111.6,Reach max iteration 50 | best_iter=32
qwen,sum,fb237_v1_ind_seed7009,100,1.0,16,7009,0.665,0.657,0.941,0.7802,0.7817,0.657,0.8889,0.971,108.3,Reach max iteration 50 | best_iter=17
qwen,sum,fb237_v1_ind_seed7001,100,1.0,32,7001,0.6736,0.6449,0.9409,0.7963,0.7772,0.6449,0.8972,0.9579,109.6,Reach max iteration 50 | best_iter=35
qwen,sum,fb237_v1_ind_seed7005,100,1.0,32,7005,0.6667,0.6095,0.9414,0.7831,0.7468,0.6095,0.8667,0.9476,110.9,Reach max iteration 50 | best_iter=29
qwen,sum,fb237_v1_ind_seed7009,100,1.0,32,7009,0.6599,0.6715,0.941,0.7794,0.7887,0.6715,0.9034,0.9517,111.2,Reach max iteration 50 | best_iter=47
qwen,sum,fb237_v1_ind_seed7001,100,1.0,48,7001,0.6995,0.6402,0.9409,0.8127,0.7773,0.6402,0.9112,0.972,110.6,Reach max iteration 50 | best_iter=49
qwen,sum,fb237_v1_ind_seed7005,100,1.0,48,7005,0.662,0.6,0.9414,0.7814,0.7566,0.6,0.9,0.9667,108.7,Reach max iteration 50 | best_iter=44
qwen,sum,fb237_v1_ind_seed7009,100,1.0,48,7009,0.665,0.6763,0.941,0.7798,0.7876,0.6763,0.8889,0.9372,110.5,Reach max iteration 50 | best_iter=34
qwen,sum,fb237_v1_ind_seed7001,100,1.0,64,7001,0.6788,0.6355,0.9409,0.8012,0.7764,0.6355,0.9112,0.972,110.0,Reach max iteration 50 | best_iter=34
qwen,sum,fb237_v1_ind_seed7005,100,1.0,64,7005,0.6573,0.6095,0.9414,0.7806,0.7554,0.6095,0.9,0.9524,110.1,Reach max iteration 50 | best_iter=42
qwen,sum,fb237_v1_ind_seed7009,100,1.0,64,7009,0.665,0.6812,0.941,0.7861,0.7956,0.6812,0.8937,0.9469,110.3,Reach max iteration 50 | best_iter=50
qwen,sum,fb237_v1_ind_seed7001,100,1.0,80,7001,0.6736,0.6495,0.9409,0.8021,0.7808,0.6495,0.8972,0.9439,109.9,Reach max iteration 50 | best_iter=48
qwen,sum,fb237_v1_ind_seed7005,100,1.0,80,7005,0.6808,0.6238,0.9414,0.7943,0.7675,0.6238,0.881,0.9762,109.2,Reach max iteration 50 | best_iter=29
qwen,sum,fb237_v1_ind_seed7009,100,1.0,80,7009,0.6904,0.6763,0.941,0.7994,0.7895,0.6763,0.8986,0.9469,111.9,Reach max iteration 50 | best_iter=38
qwen,sum,fb237_v1_ind_seed7001,100,1.0,96,7001,0.6891,0.6215,0.9409,0.8116,0.7663,0.6215,0.8879,0.9579,111.5,Reach max iteration 50 | best_iter=42
qwen,sum,fb237_v1_ind_seed7005,100,1.0,96,7005,0.6808,0.6048,0.9414,0.7939,0.7523,0.6048,0.8762,0.9714,109.0,Reach max iteration 50 | best_iter=35
qwen,sum,fb237_v1_ind_seed7009,100,1.0,96,7009,0.665,0.6957,0.941,0.7842,0.7972,0.6957,0.8841,0.9372,112.4,Reach max iteration 50 | best_iter=42
qwen,sum,fb237_v1_ind_seed7001,100,5.0,16,7001,0.6684,0.6402,0.9409,0.7867,0.7761,0.6402,0.8972,0.972,109.3,Reach max iteration 50 | best_iter=30
qwen,sum,fb237_v1_ind_seed7005,100,5.0,16,7005,0.6761,0.6048,0.9414,0.7885,0.7484,0.6048,0.8762,0.9571,108.9,Reach max iteration 50 | best_iter=21
qwen,sum,fb237_v1_ind_seed7009,100,5.0,16,7009,0.665,0.6618,0.941,0.7886,0.7849,0.6618,0.8937,0.9662,107.9,Reach max iteration 50 | best_iter=11
qwen,sum,fb237_v1_ind_seed7001,100,5.0,32,7001,0.6839,0.6355,0.9409,0.8068,0.7794,0.6355,0.9159,0.9766,109.4,Reach max iteration 50 | best_iter=46
qwen,sum,fb237_v1_ind_seed7005,100,5.0,32,7005,0.6901,0.6143,0.9414,0.7979,0.7624,0.6143,0.9048,0.9762,109.4,Reach max iteration 50 | best_iter=6
qwen,sum,fb237_v1_ind_seed7009,100,5.0,32,7009,0.6751,0.6812,0.941,0.7899,0.7919,0.6812,0.8841,0.9565,108.3,Reach max iteration 50 | best_iter=8
qwen,sum,fb237_v1_ind_seed7001,100,5.0,48,7001,0.6995,0.6589,0.9409,0.8139,0.7908,0.6589,0.9112,0.9626,109.0,Reach max iteration 50 | best_iter=33
qwen,sum,fb237_v1_ind_seed7005,100,5.0,48,7005,0.6667,0.619,0.9414,0.7867,0.7674,0.619,0.8905,0.9714,107.5,Reach max iteration 50 | best_iter=13
qwen,sum,fb237_v1_ind_seed7009,100,5.0,48,7009,0.6751,0.6908,0.941,0.7913,0.7965,0.6908,0.8889,0.9469,108.6,Reach max iteration 50 | best_iter=32
qwen,sum,fb237_v1_ind_seed7001,100,5.0,64,7001,0.7047,0.6636,0.9409,0.8198,0.7918,0.6636,0.9065,0.9766,110.4,Reach max iteration 50 | best_iter=37
qwen,sum,fb237_v1_ind_seed7005,100,5.0,64,7005,0.6995,0.5952,0.9414,0.8061,0.7596,0.5952,0.9143,0.981,111.0,Reach max iteration 50 | best_iter=43
qwen,sum,fb237_v1_ind_seed7009,100,5.0,64,7009,0.6751,0.6763,0.941,0.7956,0.789,0.6763,0.8841,0.9614,110.6,Reach max iteration 50 | best_iter=29
qwen,sum,fb237_v1_ind_seed7001,100,5.0,80,7001,0.6943,0.6308,0.9409,0.8174,0.7723,0.6308,0.9112,0.9673,110.6,Reach max iteration 50 | best_iter=31
qwen,sum,fb237_v1_ind_seed7005,100,5.0,80,7005,0.6808,0.6,0.9414,0.7971,0.7587,0.6,0.9048,0.9762,108.6,Reach max iteration 50 | best_iter=38
qwen,sum,fb237_v1_ind_seed7009,100,5.0,80,7009,0.6904,0.6812,0.941,0.8053,0.7947,0.6812,0.8841,0.9565,110.0,Reach max iteration 50 | best_iter=14
