model,aggregation,version,k,lambda,bias,n_seeds,valid_mrr_mean,valid_mrr_std,test_mrr_mean,test_mrr_std,valid_acc_mean,valid_acc_std,test_acc_mean,test_acc_std,hits_1_mean,hits_1_std,hits_3_mean,hits_3_std,hits_10_mean,hits_10_std,train_acc_mean,train_time_mean
roberta,sum,fb237_v1_ind,150,100,80,3,0.8163,0.008711,0.804467,0.018677,0.702633,0.021475,0.680167,0.028309,0.680167,0.028309,0.916067,0.015923,0.982633,0.006995,0.851,169.833333
roberta,sum,fb237_v1_ind,150,100,96,3,0.816267,0.009482,0.812167,0.003179,0.701067,0.019308,0.687867,0.012179,0.687867,0.012179,0.928667,0.012855,0.9826,0.002516,0.868233,168.566667
roberta,sum,fb237_v1_ind,175,100,48,3,0.816233,0.007868,0.820067,0.0053,0.706167,0.0143,0.7038,0.014479,0.7038,0.014479,0.9238,0.0108,0.981067,0.007853,0.848833,192.433333
roberta,sum,fb237_v1_ind,75,100,48,3,0.8162,0.00631,0.8143,0.001778,0.701067,0.019308,0.695767,0.0042,0.695767,0.0042,0.9208,0.004279,0.9795,0.006874,0.8474,92.3
roberta,sum,fb237_v1_ind,50,100,64,3,0.8156,0.005107,0.811867,0.01612,0.704667,0.021444,0.695933,0.020123,0.695933,0.020123,0.916167,0.016529,0.977967,0.017557,0.841267,68.233333
roberta,sum,fb237_v1_ind,125,100,32,3,0.8155,0.005635,0.8097,0.005069,0.706333,0.013816,0.684767,0.013643,0.684767,0.013643,0.923867,0.006,0.990567,0.0046,0.843933,117.7
roberta,sum,fb237_v1_ind,175,100,16,3,0.814967,0.005508,0.800967,0.019398,0.706133,0.011517,0.673833,0.0418,0.673833,0.0418,0.9128,0.003205,0.9795,0.010566,0.832233,127.066667
roberta,sum,fb237_v1_ind,75,100,96,3,0.814267,0.010825,0.8183,0.012108,0.7009,0.021434,0.6959,0.020029,0.6959,0.020029,0.9303,0.001931,0.985767,0.004654,0.876733,93.433333
roberta,sum,fb237_v1_ind,175,100,96,3,0.813833,0.009001,0.812933,0.009823,0.6981,0.020638,0.691133,0.016578,0.691133,0.016578,0.925533,0.006808,0.982633,0.006995,0.8844,192.066667
roberta,sum,fb237_v1_ind,75,100,32,3,0.8134,0.005381,0.807567,0.007617,0.701167,0.011689,0.6832,0.013919,0.6832,0.013919,0.916067,0.008795,0.985833,0.009301,0.860833,76.866667
roberta,sum,fb237_v1_ind,75,100,16,3,0.813333,0.007457,0.805767,0.009089,0.7029,0.01536,0.6816,0.021975,0.6816,0.021975,0.919133,0.005554,0.984333,0.014937,0.822567,60.866667
roberta,sum,fb237_v1_ind,200,50,64,3,0.813233,0.009372,0.7911,0.036294,0.701967,0.020294,0.653433,0.05776,0.653433,0.05776,0.9129,0.018503,0.9795,0.010566,0.8758,216.9
roberta,sum,fb237_v1_ind,175,50,64,3,0.812667,0.021303,0.812133,0.013901,0.695433,0.04647,0.684433,0.018481,0.684433,0.018481,0.928533,0.013783,0.9842,0.006972,0.902667,194.6
roberta,sum,fb237_v1_ind,75,50,80,3,0.812667,0.012519,0.7989,0.009753,0.7,0.025154,0.665767,0.022404,0.665767,0.022404,0.912733,0.012266,0.985833,0.009301,0.908367,93.2
roberta,sum,fb237_v1_ind,75,50,32,3,0.8126,0.013367,0.8046,0.009528,0.699433,0.029866,0.6785,0.019448,0.6785,0.019448,0.917567,0.010302,0.977933,0.011598,0.905767,93
roberta,sum,fb237_v1_ind,125,50,48,3,0.811433,0.01408,0.800033,0.008919,0.691667,0.035404,0.664167,0.019734,0.664167,0.019734,0.9269,0.015682,0.985833,0.008113,0.912867,143.166667
roberta,sum,fb237_v1_ind,200,100,16,3,0.811,0.007902,0.809233,0.006285,0.696067,0.019478,0.687967,0.013973,0.687967,0.013973,0.911233,0.005757,0.985767,0.0045,0.840267,142.966667
roberta,sum,fb237_v1_ind,100,100,16,3,0.810733,0.006886,0.806467,0.014846,0.7029,0.011704,0.688067,0.027771,0.688067,0.027771,0.904867,0.008505,0.977933,0.00948,0.828933,78.633333
