model,aggregation,version,k,lambda,bias,seed,valid_acc,test_acc,train_acc,valid_mrr,test_mrr,hits_1,hits_3,hits_10,train_time,convergence
roberta,sum,fb237_v2_ind_seed7009,75,1.0,96,7009,0.5996,0.5948,0.8318,0.7396,0.7345,0.5948,0.8427,0.944,187.3,Reach max iteration 50 | best_iter=2
roberta,sum,fb237_v2_ind_seed7001,75,5.0,16,7001,0.6095,0.6119,0.9152,0.7542,0.7538,0.6119,0.8849,0.9616,180.4,Reach max iteration 50 | best_iter=50
roberta,sum,fb237_v2_ind_seed7005,75,5.0,16,7005,0.6442,0.5924,0.9121,0.7737,0.7496,0.5924,0.895,0.9559,181.2,Reach max iteration 50 | best_iter=36
roberta,sum,fb237_v2_ind_seed7009,75,5.0,16,7009,0.5589,0.5754,0.9142,0.7211,0.7245,0.5754,0.8491,0.9526,186.6,Reach max iteration 50 | best_iter=26
roberta,sum,fb237_v2_ind_seed7001,75,5.0,32,7001,0.5944,0.6183,0.9154,0.7501,0.758,0.6183,0.8849,0.9595,183.1,Reach max iteration 50 | best_iter=48
roberta,sum,fb237_v2_ind_seed7005,75,5.0,32,7005,0.6484,0.5861,0.9119,0.7767,0.7454,0.5861,0.8866,0.9622,188.2,Reach max iteration 50 | best_iter=49
roberta,sum,fb237_v2_ind_seed7009,75,5.0,32,7009,0.5653,0.5711,0.9142,0.7241,0.7259,0.5711,0.8578,0.9547,188.3,Reach max iteration 50 | best_iter=47
roberta,sum,fb237_v2_ind_seed7001,75,5.0,48,7001,0.6117,0.6098,0.9152,0.7565,0.7516,0.6098,0.8763,0.9659,190.6,Reach max iteration 50 | best_iter=34
roberta,sum,fb237_v2_ind_seed7005,75,5.0,48,7005,0.6295,0.5966,0.9116,0.7706,0.7485,0.5966,0.8866,0.9559,191.0,Reach max iteration 50 | best_iter=9
roberta,sum,fb237_v2_ind_seed7009,75,5.0,48,7009,0.5717,0.5797,0.9142,0.7317,0.729,0.5797,0.8556,0.9461,187.8,Reach max iteration 50 | best_iter=49
roberta,sum,fb237_v2_ind_seed7001,75,5.0,64,7001,0.6247,0.6205,0.9152,0.7674,0.7585,0.6205,0.8721,0.9616,187.0,Reach max iteration 50 | best_iter=38
roberta,sum,fb237_v2_ind_seed7005,75,5.0,64,7005,0.6274,0.605,0.9119,0.7693,0.7522,0.605,0.8866,0.958,193.2,Reach max iteration 50 | best_iter=23
roberta,sum,fb237_v2_ind_seed7009,75,5.0,64,7009,0.576,0.5797,0.9142,0.7367,0.7302,0.5797,0.8556,0.9504,186.5,Reach max iteration 50 | best_iter=46
roberta,sum,fb237_v2_ind_seed7001,75,5.0,80,7001,0.6161,0.5906,0.9149,0.7644,0.7455,0.5906,0.8763,0.968,188.2,Reach max iteration 50 | best_iter=28
roberta,sum,fb237_v2_ind_seed7005,75,5.0,80,7005,0.6442,0.605,0.9121,0.7766,0.7545,0.605,0.8845,0.9643,192.3,Reach max iteration 50 | best_iter=50
roberta,sum,fb237_v2_ind_seed7009,75,5.0,80,7009,0.5653,0.5797,0.9142,0.7275,0.7342,0.5797,0.8621,0.9612,190.0,Reach max iteration 50 | best_iter=46
roberta,sum,fb237_v2_ind_seed7001,75,5.0,96,7001,0.6182,0.6183,0.9154,0.7624,0.7571,0.6183,0.8827,0.9616,192.1,Reach max iteration 50 | best_iter=50
roberta,sum,fb237_v2_ind_seed7005,75,5.0,96,7005,0.6274,0.6029,0.9119,0.7687,0.7544,0.6029,0.8908,0.9643,191.1,Reach max iteration 50 | best_iter=25
roberta,sum,fb237_v2_ind_seed7009,75,5.0,96,7009,0.5824,0.569,0.9142,0.7361,0.7228,0.569,0.8513,0.9461,189.6,Reach max iteration 50 | best_iter=33
roberta,sum,fb237_v2_ind_seed7001,75,10.0,16,7001,0.6117,0.6013,0.9149,0.758,0.7475,0.6013,0.8785,0.9659,186.3,Reach max iteration 50 | best_iter=39
roberta,sum,fb237_v2_ind_seed7005,75,10.0,16,7005,0.64,0.6008,0.9119,0.7722,0.7509,0.6008,0.8803,0.9622,190.2,Reach max iteration 50 | best_iter=50
roberta,sum,fb237_v2_ind_seed7009,75,10.0,16,7009,0.5717,0.5733,0.914,0.7313,0.7225,0.5733,0.8448,0.9353,186.7,Reach max iteration 50 | best_iter=24
roberta,sum,fb237_v2_ind_seed7001,75,10.0,32,7001,0.6139,0.6311,0.9147,0.7636,0.7695,0.6311,0.8998,0.9659,188.1,Reach max iteration 50 | best_iter=49
roberta,sum,fb237_v2_ind_seed7005,75,10.0,32,7005,0.6442,0.5966,0.9119,0.7811,0.7508,0.5966,0.8866,0.9664,188.0,Reach max iteration 50 | best_iter=32
roberta,sum,fb237_v2_ind_seed7009,75,10.0,32,7009,0.5717,0.5862,0.914,0.7322,0.735,0.5862,0.8642,0.9591,190.2,Reach max iteration 50 | best_iter=50
roberta,sum,fb237_v2_ind_seed7001,75,10.0,48,7001,0.6182,0.597,0.9149,0.7638,0.7532,0.597,0.8955,0.9765,189.3,Reach max iteration 50 | best_iter=23
roberta,sum,fb237_v2_ind_seed7005,75,10.0,48,7005,0.6484,0.6071,0.9116,0.7826,0.7587,0.6071,0.9034,0.9643,190.7,Reach max iteration 50 | best_iter=48
roberta,sum,fb237_v2_ind_seed7009,75,10.0,48,7009,0.5803,0.5754,0.914,0.7397,0.7298,0.5754,0.8642,0.9461,188.3,Reach max iteration 50 | best_iter=50
roberta,sum,fb237_v2_ind_seed7001,75,10.0,64,7001,0.6291,0.6183,0.9149,0.7738,0.7667,0.6183,0.8955,0.9659,187.7,Reach max iteration 50 | best_iter=30
roberta,sum,fb237_v2_ind_seed7005,75,10.0,64,7005,0.6421,0.6092,0.9119,0.7808,0.7628,0.6092,0.916,0.9643,187.2,Reach max iteration 50 | best_iter=35
roberta,sum,fb237_v2_ind_seed7009,75,10.0,64,7009,0.5867,0.5991,0.9142,0.7496,0.741,0.5991,0.8556,0.9504,185.3,Reach max iteration 50 | best_iter=50
roberta,sum,fb237_v2_ind_seed7001,75,10.0,80,7001,0.6204,0.6098,0.9149,0.7672,0.7625,0.6098,0.9041,0.9744,186.5,Reach max iteration 50 | best_iter=49
roberta,sum,fb237_v2_ind_seed7005,75,10.0,80,7005,0.6547,0.6134,0.9116,0.7847,0.7631,0.6134,0.9013,0.9685,190.0,Reach max iteration 50 | best_iter=36
roberta,sum,fb237_v2_ind_seed7009,75,10.0,80,7009,0.5653,0.5797,0.9137,0.7341,0.7341,0.5797,0.8599,0.9569,188.3,Reach max iteration 50 | best_iter=18
roberta,sum,fb237_v2_ind_seed7001,75,10.0,96,7001,0.6334,0.6162,0.9149,0.7715,0.76,0.6162,0.8913,0.968,193.5,Reach max iteration 50 | best_iter=40
roberta,sum,fb237_v2_ind_seed7005,75,10.0,96,7005,0.6526,0.6092,0.9106,0.7845,0.7593,0.6092,0.9034,0.9643,191.3,Reach max iteration 50 | best_iter=9
roberta,sum,fb237_v2_ind_seed7009,75,10.0,96,7009,0.5889,0.5776,0.914,0.7399,0.7323,0.5776,0.875,0.9483,187.4,Reach max iteration 50 | best_iter=44
roberta,sum,fb237_v2_ind_seed7001,75,50.0,16,7001,0.6594,0.6418,0.8823,0.7916,0.7801,0.6418,0.8977,0.9808,185.1,Reach max iteration 50 | best_iter=8
roberta,sum,fb237_v2_ind_seed7005,75,50.0,16,7005,0.6863,0.6639,0.8778,0.8019,0.7913,0.6639,0.9055,0.9748,191.2,Reach max iteration 50 | best_iter=14
roberta,sum,fb237_v2_ind_seed7009,75,50.0,16,7009,0.6039,0.6099,0.8534,0.7566,0.7518,0.6099,0.8534,0.9677,187.3,Reach max iteration 50 | best_iter=3
roberta,sum,fb237_v2_ind_seed7001,75,50.0,32,7001,0.6638,0.6461,0.8849,0.7971,0.7874,0.6461,0.9168,0.9787,192.2,Reach max iteration 50 | best_iter=7
roberta,sum,fb237_v2_ind_seed7005,75,50.0,32,7005,0.6758,0.6618,0.8851,0.8024,0.7935,0.6618,0.9139,0.9748,186.7,Reach max iteration 50 | best_iter=23
roberta,sum,fb237_v2_ind_seed7009,75,50.0,32,7009,0.6146,0.625,0.894,0.7692,0.7627,0.625,0.8685,0.9634,191.3,Reach max iteration 50 | best_iter=38
roberta,sum,fb237_v2_ind_seed7001,75,50.0,48,7001,0.6616,0.6333,0.8916,0.7935,0.7793,0.6333,0.919,0.9787,188.8,Reach max iteration 50 | best_iter=38
roberta,sum,fb237_v2_ind_seed7005,75,50.0,48,7005,0.6968,0.6534,0.8877,0.8137,0.7891,0.6534,0.9181,0.9769,189.4,Reach max iteration 50 | best_iter=36
roberta,sum,fb237_v2_ind_seed7009,75,50.0,48,7009,0.6167,0.6336,0.8611,0.769,0.7662,0.6336,0.8707,0.9677,186.6,Reach max iteration 50 | best_iter=4
roberta,sum,fb237_v2_ind_seed7001,75,50.0,64,7001,0.6725,0.6482,0.8873,0.8017,0.7878,0.6482,0.919,0.9765,192.3,Reach max iteration 50 | best_iter=6
roberta,sum,fb237_v2_ind_seed7005,75,50.0,64,7005,0.6842,0.6597,0.8573,0.8065,0.7923,0.6597,0.916,0.979,191.0,Reach max iteration 50 | best_iter=4
roberta,sum,fb237_v2_ind_seed7009,75,50.0,64,7009,0.6167,0.6078,0.8726,0.7701,0.7538,0.6078,0.8685,0.9634,189.7,Reach max iteration 50 | best_iter=4
roberta,sum,fb237_v2_ind_seed7001,75,50.0,80,7001,0.6638,0.6546,0.8921,0.7952,0.791,0.6546,0.9147,0.9808,191.6,Reach max iteration 50 | best_iter=18
roberta,sum,fb237_v2_ind_seed7005,75,50.0,80,7005,0.6842,0.6576,0.8877,0.8054,0.7944,0.6576,0.9244,0.979,192.6,Reach max iteration 50 | best_iter=22
roberta,sum,fb237_v2_ind_seed7009,75,50.0,80,7009,0.6103,0.6207,0.8539,0.7658,0.7558,0.6207,0.8621,0.9677,191.8,Reach max iteration 50 | best_iter=3
roberta,sum,fb237_v2_ind_seed7001,75,50.0,96,7001,0.6746,0.6397,0.8815,0.8017,0.7811,0.6397,0.9062,0.9829,187.5,Reach max iteration 50 | best_iter=7
roberta,sum,fb237_v2_ind_seed7005,75,50.0,96,7005,0.6842,0.6576,0.8875,0.8045,0.793,0.6576,0.9181,0.9748,190.3,Reach max iteration 50 | best_iter=24
roberta,sum,fb237_v2_ind_seed7009,75,50.0,96,7009,0.6424,0.6315,0.8411,0.7793,0.7651,0.6315,0.8772,0.9634,192.3,Reach max iteration 50 | best_iter=2
roberta,sum,fb237_v2_ind_seed7001,75,100.0,16,7001,0.6833,0.6738,0.8083,0.804,0.7974,0.6738,0.9062,0.9787,188.6,Reach max iteration 50 | best_iter=5
roberta,sum,fb237_v2_ind_seed7005,75,100.0,16,7005,0.6884,0.6702,0.8143,0.8036,0.7973,0.6702,0.9202,0.9748,190.9,Reach max iteration 50 | best_iter=38
roberta,sum,fb237_v2_ind_seed7009,75,100.0,16,7009,0.6424,0.6293,0.8265,0.7812,0.7632,0.6293,0.8728,0.9591,187.5,Reach max iteration 50 | best_iter=29
roberta,sum,fb237_v2_ind_seed7001,75,100.0,32,7001,0.6833,0.6652,0.7987,0.8059,0.7931,0.6652,0.9041,0.9744,190.3,Reach max iteration 50 | best_iter=3
roberta,sum,fb237_v2_ind_seed7005,75,100.0,32,7005,0.7032,0.6765,0.8206,0.8133,0.8048,0.6765,0.9307,0.9832,190.6,Reach max iteration 50 | best_iter=34
roberta,sum,fb237_v2_ind_seed7009,75,100.0,32,7009,0.6424,0.6466,0.8359,0.7811,0.776,0.6466,0.8836,0.9698,190.9,Reach max iteration 50 | best_iter=39
roberta,sum,fb237_v2_ind_seed7001,75,100.0,48,7001,0.6725,0.678,0.816,0.8044,0.8018,0.678,0.9126,0.9829,189.4,Reach max iteration 50 | best_iter=4
roberta,sum,fb237_v2_ind_seed7005,75,100.0,48,7005,0.7095,0.6765,0.8307,0.8198,0.8036,0.6765,0.9181,0.9769,191.1,Reach max iteration 50 | best_iter=43
roberta,sum,fb237_v2_ind_seed7009,75,100.0,48,7009,0.636,0.6444,0.8426,0.7806,0.7769,0.6444,0.8815,0.972,188.9,Reach max iteration 50 | best_iter=49
roberta,sum,fb237_v2_ind_seed7001,75,100.0,64,7001,0.679,0.6759,0.8164,0.806,0.7999,0.6759,0.9062,0.9765,189.5,Reach max iteration 50 | best_iter=4
roberta,sum,fb237_v2_ind_seed7005,75,100.0,64,7005,0.7032,0.6849,0.8269,0.817,0.8087,0.6849,0.9286,0.979,188.5,Reach max iteration 50 | best_iter=8
roberta,sum,fb237_v2_ind_seed7009,75,100.0,64,7009,0.6317,0.653,0.8486,0.7793,0.7801,0.653,0.8858,0.972,189.2,Reach max iteration 50 | best_iter=21
roberta,sum,fb237_v2_ind_seed7001,75,100.0,80,7001,0.6811,0.6738,0.8157,0.8056,0.8001,0.6738,0.9126,0.9829,190.8,Reach max iteration 50 | best_iter=4
roberta,sum,fb237_v2_ind_seed7005,75,100.0,80,7005,0.6968,0.6786,0.8384,0.8144,0.8058,0.6786,0.9244,0.979,192.7,Reach max iteration 50 | best_iter=26
roberta,sum,fb237_v2_ind_seed7009,75,100.0,80,7009,0.6403,0.6401,0.8484,0.7809,0.7749,0.6401,0.8815,0.9698,192.7,Reach max iteration 50 | best_iter=8
roberta,sum,fb237_v2_ind_seed7001,75,100.0,96,7001,0.6725,0.6738,0.8075,0.8032,0.7982,0.6738,0.9083,0.9744,189.9,Reach max iteration 50 | best_iter=4
roberta,sum,fb237_v2_ind_seed7005,75,100.0,96,7005,0.7032,0.6744,0.844,0.8156,0.8048,0.6744,0.9265,0.9832,190.9,Reach max iteration 50 | best_iter=15
roberta,sum,fb237_v2_ind_seed7009,75,100.0,96,7009,0.6467,0.6379,0.8563,0.7844,0.7715,0.6379,0.8793,0.972,192.3,Reach max iteration 50 | best_iter=26
roberta,sum,fb237_v2_ind_seed7001,75,500.0,16,7001,0.6139,0.6141,0.6189,0.7377,0.7307,0.6141,0.8209,0.919,93.1,Reach max iteration 50 | best_iter=16
roberta,sum,fb237_v2_ind_seed7005,75,500.0,16,7005,0.6042,0.5903,0.6064,0.7217,0.7206,0.5903,0.8256,0.9139,93.0,Reach max iteration 50 | best_iter=6
roberta,sum,fb237_v2_ind_seed7009,75,500.0,16,7009,0.5846,0.5582,0.614,0.7164,0.692,0.5582,0.7931,0.903,92.9,Reach max iteration 50 | best_iter=22
roberta,sum,fb237_v2_ind_seed7001,75,500.0,32,7001,0.6247,0.6525,0.6562,0.7563,0.766,0.6525,0.855,0.951,104.7,Reach max iteration 50 | best_iter=27
roberta,sum,fb237_v2_ind_seed7005,75,500.0,32,7005,0.6316,0.6471,0.6511,0.7497,0.7627,0.6471,0.8466,0.9412,104.8,Reach max iteration 50 | best_iter=11
roberta,sum,fb237_v2_ind_seed7009,75,500.0,32,7009,0.621,0.5905,0.651,0.7441,0.7172,0.5905,0.806,0.9246,109.0,Reach max iteration 50 | best_iter=50
roberta,sum,fb237_v2_ind_seed7001,75,500.0,48,7001,0.6356,0.661,0.6713,0.7646,0.7732,0.661,0.8699,0.9531,124.0,Reach max iteration 50 | best_iter=33
roberta,sum,fb237_v2_ind_seed7005,75,500.0,48,7005,0.64,0.6387,0.6728,0.757,0.7617,0.6387,0.8634,0.9496,122.5,Reach max iteration 50 | best_iter=16
roberta,sum,fb237_v2_ind_seed7009,75,500.0,48,7009,0.636,0.6056,0.6671,0.7568,0.7336,0.6056,0.8427,0.931,123.2,Reach max iteration 50 | best_iter=11
roberta,sum,fb237_v2_ind_seed7001,75,500.0,64,7001,0.6421,0.6652,0.6852,0.7703,0.7782,0.6652,0.8635,0.951,130.3,Reach max iteration 50 | best_iter=30
roberta,sum,fb237_v2_ind_seed7005,75,500.0,64,7005,0.6526,0.6576,0.6762,0.7661,0.7775,0.6576,0.8824,0.958,132.5,Reach max iteration 50 | best_iter=11
roberta,sum,fb237_v2_ind_seed7009,75,500.0,64,7009,0.6381,0.6142,0.6748,0.7623,0.7393,0.6142,0.8362,0.9332,128.1,Reach max iteration 50 | best_iter=41
roberta,sum,fb237_v2_ind_seed7001,75,500.0,80,7001,0.6399,0.6588,0.6877,0.7696,0.776,0.6588,0.8763,0.9552,146.2,Reach max iteration 50 | best_iter=50
roberta,sum,fb237_v2_ind_seed7005,75,500.0,80,7005,0.6568,0.6639,0.687,0.7702,0.7813,0.6639,0.8803,0.9601,139.3,Reach max iteration 50 | best_iter=31
roberta,sum,fb237_v2_ind_seed7009,75,500.0,80,7009,0.6424,0.6228,0.6878,0.7678,0.7449,0.6228,0.8405,0.9418,145.5,Reach max iteration 50 | best_iter=43
roberta,sum,fb237_v2_ind_seed7001,75,500.0,96,7001,0.6421,0.661,0.6989,0.7736,0.7787,0.661,0.8657,0.9595,162.6,Reach max iteration 50 | best_iter=32
roberta,sum,fb237_v2_ind_seed7005,75,500.0,96,7005,0.6653,0.6576,0.6921,0.7783,0.7792,0.6576,0.8782,0.9643,167.5,Reach max iteration 50 | best_iter=12
roberta,sum,fb237_v2_ind_seed7009,75,500.0,96,7009,0.6445,0.6272,0.6945,0.7703,0.7508,0.6272,0.8513,0.9418,162.1,Reach max iteration 50 | best_iter=26
roberta,sum,fb237_v2_ind_seed7001,75,1000.0,16,7001,0.5033,0.5288,0.5014,0.6336,0.6465,0.5288,0.7122,0.8422,88.4,Reach max iteration 50 | best_iter=19
roberta,sum,fb237_v2_ind_seed7005,75,1000.0,16,7005,0.4884,0.5084,0.4984,0.6145,0.6328,0.5084,0.7206,0.8508,90.2,Reach max iteration 50 | best_iter=25
roberta,sum,fb237_v2_ind_seed7009,75,1000.0,16,7009,0.5075,0.5,0.509,0.6298,0.6129,0.5,0.6703,0.806,90.3,Reach max iteration 50 | best_iter=19
roberta,sum,fb237_v2_ind_seed7001,75,1000.0,32,7001,0.5466,0.5565,0.5308,0.6784,0.678,0.5565,0.7591,0.8657,91.9,Reach max iteration 50 | best_iter=27
roberta,sum,fb237_v2_ind_seed7005,75,1000.0,32,7005,0.5242,0.542,0.5284,0.6485,0.6716,0.542,0.7584,0.8845,89.7,Reach max iteration 50 | best_iter=42
roberta,sum,fb237_v2_ind_seed7009,75,1000.0,32,7009,0.531,0.5108,0.5302,0.6555,0.6346,0.5108,0.7091,0.8513,92.2,Reach max iteration 50 | best_iter=23
roberta,sum,fb237_v2_ind_seed7001,75,1000.0,48,7001,0.551,0.58,0.5581,0.686,0.6987,0.58,0.7804,0.8934,92.8,Reach max iteration 50 | best_iter=13
roberta,sum,fb237_v2_ind_seed7005,75,1000.0,48,7005,0.5347,0.5483,0.5465,0.664,0.6819,0.5483,0.7731,0.8887,92.3,Reach max iteration 50 | best_iter=17
roberta,sum,fb237_v2_ind_seed7009,75,1000.0,48,7009,0.5353,0.5151,0.5489,0.6642,0.6468,0.5151,0.7263,0.875,92.9,Reach max iteration 50 | best_iter=19
roberta,sum,fb237_v2_ind_seed7001,75,1000.0,64,7001,0.5575,0.597,0.5718,0.6972,0.7123,0.597,0.7953,0.8934,95.8,Reach max iteration 50 | best_iter=17
roberta,sum,fb237_v2_ind_seed7005,75,1000.0,64,7005,0.5579,0.5714,0.5644,0.6846,0.6989,0.5714,0.7962,0.9076,129.8,Reach max iteration 50 | best_iter=11
roberta,sum,fb237_v2_ind_seed7009,75,1000.0,64,7009,0.5589,0.5431,0.578,0.6856,0.6699,0.5431,0.7586,0.8987,93.4,Reach max iteration 50 | best_iter=32
roberta,sum,fb237_v2_ind_seed7001,75,1000.0,80,7001,0.5705,0.6077,0.581,0.7055,0.7229,0.6077,0.8017,0.9083,97.7,Reach max iteration 50 | best_iter=41
roberta,sum,fb237_v2_ind_seed7005,75,1000.0,80,7005,0.5621,0.5861,0.5825,0.6928,0.7151,0.5861,0.813,0.9202,101.6,Reach max iteration 50 | best_iter=46
roberta,sum,fb237_v2_ind_seed7009,75,1000.0,80,7009,0.5889,0.5366,0.5914,0.7055,0.6707,0.5366,0.7737,0.8944,105.1,Reach max iteration 50 | best_iter=10
roberta,sum,fb237_v2_ind_seed7001,75,1000.0,96,7001,0.5879,0.6055,0.5889,0.7169,0.7244,0.6055,0.8081,0.9126,109.1,Reach max iteration 50 | best_iter=45
roberta,sum,fb237_v2_ind_seed7005,75,1000.0,96,7005,0.5747,0.5945,0.5871,0.701,0.7204,0.5945,0.8109,0.9265,113.2,Reach max iteration 50 | best_iter=8
roberta,sum,fb237_v2_ind_seed7009,75,1000.0,96,7009,0.5803,0.556,0.6025,0.7067,0.6859,0.556,0.778,0.9116,121.3,Reach max iteration 50 | best_iter=9
roberta,sum,fb237_v2_ind_seed7001,100,1.0,16,7001,0.6074,0.5821,0.9046,0.7368,0.7248,0.5821,0.8486,0.951,233.9,Reach max iteration 50 | best_iter=3
roberta,sum,fb237_v2_ind_seed7005,100,1.0,16,7005,0.6274,0.5651,0.9126,0.7621,0.7214,0.5651,0.8676,0.9559,228.4,Reach max iteration 50 | best_iter=50
roberta,sum,fb237_v2_ind_seed7009,100,1.0,16,7009,0.5696,0.5819,0.8822,0.7213,0.7312,0.5819,0.8621,0.9397,233.5,Reach max iteration 50 | best_iter=3
roberta,sum,fb237_v2_ind_seed7001,100,1.0,32,7001,0.6182,0.5949,0.8522,0.7467,0.7329,0.5949,0.8593,0.936,232.8,Reach max iteration 50 | best_iter=3
roberta,sum,fb237_v2_ind_seed7005,100,1.0,32,7005,0.6063,0.5861,0.9126,0.7457,0.735,0.5861,0.8718,0.9412,232.3,Reach max iteration 50 | best_iter=50
roberta,sum,fb237_v2_ind_seed7009,100,1.0,32,7009,0.5567,0.5625,0.9144,0.7119,0.713,0.5625,0.8362,0.944,232.2,Reach max iteration 50 | best_iter=41
roberta,sum,fb237_v2_ind_seed7001,100,1.0,48,7001,0.5922,0.5842,0.9154,0.7336,0.7302,0.5842,0.8507,0.9531,235.7,Reach max iteration 50 | best_iter=47
roberta,sum,fb237_v2_ind_seed7005,100,1.0,48,7005,0.6211,0.5903,0.9119,0.7587,0.7401,0.5903,0.8739,0.9517,239.5,Reach max iteration 50 | best_iter=15
roberta,sum,fb237_v2_ind_seed7009,100,1.0,48,7009,0.5653,0.5733,0.8212,0.7224,0.7176,0.5733,0.8427,0.9289,235.8,Reach max iteration 50 | best_iter=2
roberta,sum,fb237_v2_ind_seed7001,100,1.0,64,7001,0.6161,0.6226,0.8513,0.7522,0.7439,0.6226,0.8401,0.9318,228.9,Reach max iteration 50 | best_iter=3
roberta,sum,fb237_v2_ind_seed7005,100,1.0,64,7005,0.6337,0.605,0.9017,0.7686,0.7554,0.605,0.895,0.9622,236.1,Reach max iteration 50 | best_iter=5
roberta,sum,fb237_v2_ind_seed7009,100,1.0,64,7009,0.5782,0.5862,0.8532,0.7292,0.7261,0.5862,0.8448,0.9375,232.0,Reach max iteration 50 | best_iter=3
roberta,sum,fb237_v2_ind_seed7001,100,1.0,80,7001,0.6399,0.6141,0.8395,0.7669,0.7482,0.6141,0.8571,0.9531,237.9,Reach max iteration 50 | best_iter=2
roberta,sum,fb237_v2_ind_seed7005,100,1.0,80,7005,0.6337,0.5861,0.9085,0.7685,0.7397,0.5861,0.8803,0.9517,240.3,Reach max iteration 50 | best_iter=5
roberta,sum,fb237_v2_ind_seed7009,100,1.0,80,7009,0.5782,0.5754,0.9056,0.7354,0.7257,0.5754,0.8556,0.944,241.4,Reach max iteration 50 | best_iter=3
roberta,sum,fb237_v2_ind_seed7001,100,1.0,96,7001,0.6095,0.6098,0.8775,0.757,0.7498,0.6098,0.8678,0.9659,240.4,Reach max iteration 50 | best_iter=3
roberta,sum,fb237_v2_ind_seed7005,100,1.0,96,7005,0.6568,0.605,0.8824,0.7787,0.7513,0.605,0.8824,0.9601,237.2,Reach max iteration 50 | best_iter=4
roberta,sum,fb237_v2_ind_seed7009,100,1.0,96,7009,0.5696,0.5862,0.9015,0.7232,0.7317,0.5862,0.8534,0.9375,240.6,Reach max iteration 50 | best_iter=4
roberta,sum,fb237_v2_ind_seed7001,100,5.0,16,7001,0.6161,0.6141,0.9152,0.7582,0.7541,0.6141,0.8827,0.9659,235.0,Reach max iteration 50 | best_iter=22
roberta,sum,fb237_v2_ind_seed7005,100,5.0,16,7005,0.6358,0.5945,0.9121,0.7723,0.7482,0.5945,0.8866,0.9643,228.8,Reach max iteration 50 | best_iter=39
roberta,sum,fb237_v2_ind_seed7009,100,5.0,16,7009,0.5675,0.569,0.9142,0.7286,0.7197,0.569,0.8448,0.9397,232.3,Reach max iteration 50 | best_iter=38
roberta,sum,fb237_v2_ind_seed7001,100,5.0,32,7001,0.6247,0.6034,0.9154,0.7631,0.7546,0.6034,0.8913,0.9616,233.0,Reach max iteration 50 | best_iter=40
roberta,sum,fb237_v2_ind_seed7005,100,5.0,32,7005,0.6505,0.6008,0.9121,0.7809,0.753,0.6008,0.895,0.9559,222.1,Reach max iteration 50 | best_iter=44
roberta,sum,fb237_v2_ind_seed7009,100,5.0,32,7009,0.5824,0.569,0.9144,0.7392,0.7229,0.569,0.8621,0.9569,237.4,Reach max iteration 50 | best_iter=38
roberta,sum,fb237_v2_ind_seed7001,100,5.0,48,7001,0.6226,0.629,0.9154,0.7638,0.7688,0.629,0.8934,0.9638,240.9,Reach max iteration 50 | best_iter=46
roberta,sum,fb237_v2_ind_seed7005,100,5.0,48,7005,0.6379,0.6113,0.9119,0.7778,0.7623,0.6113,0.9034,0.9601,241.7,Reach max iteration 50 | best_iter=21
roberta,sum,fb237_v2_ind_seed7009,100,5.0,48,7009,0.5803,0.5841,0.9144,0.7395,0.7329,0.5841,0.8556,0.9526,234.3,Reach max iteration 50 | best_iter=49
roberta,sum,fb237_v2_ind_seed7001,100,5.0,64,7001,0.6182,0.6183,0.9154,0.7649,0.7622,0.6183,0.8849,0.9723,234.1,Reach max iteration 50 | best_iter=49
roberta,sum,fb237_v2_ind_seed7005,100,5.0,64,7005,0.6526,0.6134,0.9119,0.7836,0.7623,0.6134,0.8992,0.9685,236.9,Reach max iteration 50 | best_iter=22
roberta,sum,fb237_v2_ind_seed7009,100,5.0,64,7009,0.576,0.5819,0.9142,0.7371,0.7315,0.5819,0.8599,0.9526,229.2,Reach max iteration 50 | best_iter=35
roberta,sum,fb237_v2_ind_seed7001,100,5.0,80,7001,0.6269,0.6055,0.9152,0.7674,0.7506,0.6055,0.8806,0.9595,240.4,Reach max iteration 50 | best_iter=20
roberta,sum,fb237_v2_ind_seed7005,100,5.0,80,7005,0.6379,0.6092,0.9121,0.7757,0.76,0.6092,0.9013,0.9664,239.5,Reach max iteration 50 | best_iter=50
roberta,sum,fb237_v2_ind_seed7009,100,5.0,80,7009,0.6017,0.6185,0.8411,0.7458,0.7489,0.6185,0.8621,0.9397,238.3,Reach max iteration 50 | best_iter=2
roberta,sum,fb237_v2_ind_seed7001,100,5.0,96,7001,0.6204,0.6247,0.9152,0.7663,0.7628,0.6247,0.8913,0.9701,242.4,Reach max iteration 50 | best_iter=48
roberta,sum,fb237_v2_ind_seed7005,100,5.0,96,7005,0.6632,0.605,0.8595,0.7845,0.7482,0.605,0.8761,0.9538,242.5,Reach max iteration 50 | best_iter=2
roberta,sum,fb237_v2_ind_seed7009,100,5.0,96,7009,0.5824,0.6013,0.8935,0.7378,0.7461,0.6013,0.875,0.944,237.4,Reach max iteration 50 | best_iter=4
roberta,sum,fb237_v2_ind_seed7001,100,10.0,16,7001,0.6139,0.6098,0.9152,0.7594,0.7544,0.6098,0.8849,0.9638,231.8,Reach max iteration 50 | best_iter=9
roberta,sum,fb237_v2_ind_seed7005,100,10.0,16,7005,0.6547,0.5903,0.9119,0.782,0.7458,0.5903,0.8908,0.9643,233.0,Reach max iteration 50 | best_iter=41
