model,aggregation,version,k,lambda,bias,seed,valid_acc,test_acc,train_acc,valid_mrr,test_mrr,hits_1,hits_3,hits_10,train_time,convergence
roberta,sum,fb237_v2_ind_seed7001,50,5.0,96,7001,0.6269,0.6055,0.9152,0.766,0.746,0.6055,0.8678,0.9552,139.3,Reach max iteration 50 | best_iter=49
roberta,sum,fb237_v2_ind_seed7005,50,5.0,96,7005,0.6316,0.6366,0.871,0.7697,0.7692,0.6366,0.8824,0.9538,137.1,Reach max iteration 50 | best_iter=3
roberta,sum,fb237_v2_ind_seed7009,50,5.0,96,7009,0.6081,0.6121,0.7123,0.7338,0.7273,0.6121,0.819,0.9116,138.1,Reach max iteration 50 | best_iter=1
roberta,sum,fb237_v2_ind_seed7001,50,10.0,16,7001,0.6161,0.6055,0.9147,0.7573,0.7526,0.6055,0.8891,0.968,137.5,Reach max iteration 50 | best_iter=50
roberta,sum,fb237_v2_ind_seed7005,50,10.0,16,7005,0.6232,0.5861,0.9119,0.7639,0.7407,0.5861,0.8824,0.9538,138.1,Reach max iteration 50 | best_iter=50
roberta,sum,fb237_v2_ind_seed7009,50,10.0,16,7009,0.5782,0.5711,0.9137,0.7326,0.723,0.5711,0.8534,0.9526,137.5,Reach max iteration 50 | best_iter=37
roberta,sum,fb237_v2_ind_seed7001,50,10.0,32,7001,0.6247,0.6098,0.9149,0.7694,0.7555,0.6098,0.8763,0.968,138.5,Reach max iteration 50 | best_iter=45
roberta,sum,fb237_v2_ind_seed7005,50,10.0,32,7005,0.6421,0.5924,0.9121,0.772,0.7442,0.5924,0.8824,0.9559,138.5,Reach max iteration 50 | best_iter=50
roberta,sum,fb237_v2_ind_seed7009,50,10.0,32,7009,0.5739,0.5884,0.9142,0.7312,0.7308,0.5884,0.8491,0.9569,138.0,Reach max iteration 50 | best_iter=47
roberta,sum,fb237_v2_ind_seed7001,50,10.0,48,7001,0.6247,0.6247,0.9149,0.768,0.7611,0.6247,0.8763,0.9701,137.0,Reach max iteration 50 | best_iter=48
roberta,sum,fb237_v2_ind_seed7005,50,10.0,48,7005,0.6358,0.6008,0.9119,0.7734,0.7521,0.6008,0.8866,0.9622,139.1,Reach max iteration 50 | best_iter=20
roberta,sum,fb237_v2_ind_seed7009,50,10.0,48,7009,0.5739,0.5668,0.9135,0.7327,0.7228,0.5668,0.8599,0.9461,138.0,Reach max iteration 50 | best_iter=27
roberta,sum,fb237_v2_ind_seed7001,50,10.0,64,7001,0.6182,0.6183,0.9149,0.7629,0.7636,0.6183,0.8849,0.9723,138.0,Reach max iteration 50 | best_iter=49
roberta,sum,fb237_v2_ind_seed7005,50,10.0,64,7005,0.6568,0.5966,0.9116,0.7848,0.7504,0.5966,0.8866,0.958,136.9,Reach max iteration 50 | best_iter=49
roberta,sum,fb237_v2_ind_seed7009,50,10.0,64,7009,0.5824,0.6013,0.914,0.7402,0.7445,0.6013,0.8728,0.9569,136.1,Reach max iteration 50 | best_iter=50
roberta,sum,fb237_v2_ind_seed7001,50,10.0,80,7001,0.6161,0.6247,0.9149,0.762,0.7688,0.6247,0.8998,0.968,138.0,Reach max iteration 50 | best_iter=49
roberta,sum,fb237_v2_ind_seed7005,50,10.0,80,7005,0.6442,0.605,0.9114,0.7748,0.7559,0.605,0.8908,0.9664,138.1,Reach max iteration 50 | best_iter=17
roberta,sum,fb237_v2_ind_seed7009,50,10.0,80,7009,0.591,0.6013,0.8532,0.7385,0.7345,0.6013,0.847,0.9353,138.7,Reach max iteration 50 | best_iter=2
roberta,sum,fb237_v2_ind_seed7001,50,10.0,96,7001,0.6226,0.6119,0.9149,0.7679,0.7538,0.6119,0.8806,0.9552,139.2,Reach max iteration 50 | best_iter=50
roberta,sum,fb237_v2_ind_seed7005,50,10.0,96,7005,0.6295,0.5882,0.9119,0.7727,0.748,0.5882,0.8908,0.9622,136.5,Reach max iteration 50 | best_iter=48
roberta,sum,fb237_v2_ind_seed7009,50,10.0,96,7009,0.6081,0.6121,0.7308,0.7363,0.7313,0.6121,0.8233,0.9116,137.4,Reach max iteration 50 | best_iter=1
roberta,sum,fb237_v2_ind_seed7001,50,50.0,16,7001,0.6464,0.6333,0.8883,0.7839,0.7747,0.6333,0.9083,0.9787,137.6,Reach max iteration 50 | best_iter=26
roberta,sum,fb237_v2_ind_seed7005,50,50.0,16,7005,0.6821,0.6408,0.8851,0.8017,0.7825,0.6408,0.9223,0.9706,138.3,Reach max iteration 50 | best_iter=35
roberta,sum,fb237_v2_ind_seed7009,50,50.0,16,7009,0.6081,0.6207,0.8596,0.7609,0.756,0.6207,0.8599,0.9655,138.5,Reach max iteration 50 | best_iter=3
roberta,sum,fb237_v2_ind_seed7001,50,50.0,32,7001,0.6616,0.6461,0.8854,0.7976,0.7826,0.6461,0.9062,0.9744,138.1,Reach max iteration 50 | best_iter=8
